Age,Sex,Cuota,Nomina,Tasa,TDC,Antiguedad,BuenPago
47,1,263,0,174,N,0,0
44,1,184,0,142,N,1,0
53,0,264,0,143,,0.4,0
65,1,306,1,87,Y,1.5,1
60,1,0,0,99,Y,0.5,1
52,0,196,0,169,N,0.1,0
62,1,0,0,130,N,0.1,0
65,1,236,1,105,Y,0,1
54,0,214,0,158,N,1.6,0
63,1,305,0,121,Y,1,1
52,1,0,0,180,N,,1
49,1,149,0,126,N,0.8,1
50,1,209,0,116,N,0,0
47,1,204,0,143,N,0.1,0
46,1,186,0,124,N,0,1
63,1,330,1,132,Y,1.8,1
66,1,0,0,120,N,,0
61,1,0,0,80,Y,0,1
55,1,0,0,150,,0.2,0
57,1,201,0,126,Y,1.5,0
36,1,,1,125,Y,1,1
67,1,286,0,108,Y,1.5,1
54,0,230,0,130,N,0,0
61,1,292,0,,Y,1.7,1
46,1,249,0,144,N,0.8,1
,1,222,0,112,N,0,1
56,1,282,1,126,Y,1.2,1
59,1,287,0,150,N,0,0
68,,0,0,130,Y,3,1
38,1,292,0,130,N,,0
66,1,261,0,140,N,1.5,1
67,1,254,1,163,N,,1
41,,237,,138,Y,,1
67,0,564,0,160,N,1.6,0
64,1,273,0,,Y,4,1
62,1,204,0,122,Y,,1
44,1,290,0,100,Y,2,1
59,1,270,0,145,N,4.2,0
61,1,243,,137,Y,1,0
70,1,174,0,125,Y,2.6,1
51,0,295,0,157,N,0.6,0
58,1,224,0,173,N,3.2,1
46,1,236,0,125,Y,2,1
71,0,149,0,125,N,1.6,0
65,1,0,0,93,Y,0,1
69,0,239,0,151,N,1.8,0
49,1,142,0,127,Y,,1
59,1,177,0,,Y,0,1
62,1,0,0,120,Y,0.5,1
46,1,0,0,,Y,1.5,1
46,0,177,0,160,Y,1.4,0
48,1,0,1,110,Y,1,1
40,1,466,1,152,Y,1,1
62,1,0,1,119,Y,1.2,1
31,0,,0,150,N,,0
54,0,304,1,170,N,0,0
60,1,186,1,140,Y,0.5,1
37,0,260,0,130,N,0,0
44,1,169,0,144,Y,2.8,1
69,1,110,1,109,Y,1.5,1
62,1,139,0,137,N,0.2,0
65,1,275,0,115,Y,,1
58,1,284,,160,N,1.8,1
63,1,0,0,86,Y,2,1
47,1,291,0,158,Y,3,1
61,1,241,0,148,Y,3,1
43,0,215,0,175,N,0,0
40,1,223,0,181,N,0,1
54,1,239,0,160,N,1.2,0
56,1,224,1,161,N,2,0
62,1,210,1,,Y,3,1
51,1,175,0,123,N,0.6,0
41,1,336,,118,Y,3,1
56,1,184,0,105,Y,2.1,1
48,0,254,0,110,N,0,0
64,1,211,0,,Y,1.8,0
34,0,210,0,192,N,0.7,0
51,1,227,1,138,N,0.2,0
40,1,235,0,188,N,0,0
57,1,126,,173,N,0.2,0
69,1,234,1,131,N,0.1,0
53,1,285,0,120,Y,1.5,1
52,1,246,0,82,Y,,1
54,1,0,1,110,Y,3,1
62,1,297,0,130,Y,1,1
61,1,283,0,135,N,0.3,0
61,1,234,,145,N,2.6,1
60,1,246,0,135,N,0,0
68,1,254,1,151,Y,0,0
58,1,218,0,105,N,2,1
54,1,217,,137,N,0,0
43,1,0,0,120,N,0.5,1
65,1,0,1,67,N,0.7,1
66,1,213,1,99,Y,1.3,0
66,0,0,1,90,N,0,1
51,1,0,1,125,Y,1.2,1
53,1,0,1,,Y,0,1
55,,226,0,127,,1.7,1
,1,,1,157,N,1.6,0
58,0,197,0,131,N,0.6,0
60,1,0,1,110,N,,1
56,1,167,0,114,N,0,0
36,1,209,0,178,N,0,0
41,0,245,0,150,N,0,0
55,1,292,1,143,Y,2,1
38,0,0,1,166,N,2.8,1
65,1,263,1,112,Y,2,1
59,1,264,1,119,Y,0,1
,1,275,0,118,Y,,1
75,1,203,1,108,N,0,1
35,0,,0,182,N,1.4,0
59,1,271,0,182,N,0,0
50,0,202,0,145,N,0,0
54,1,603,1,125,Y,1,1
51,0,305,0,142,Y,,1
62,1,0,1,,N,,1
,1,0,1,149,N,2.1,1
53,0,216,0,142,Y,2,0
51,0,258,1,96,N,1,0
57,0,303,0,159,N,0,0
52,1,205,1,184,N,0,0
37,0,173,0,184,N,0,0
55,0,205,0,130,Y,2,1
41,1,203,0,132,N,0,0
65,,0,0,112,Y,1.1,1
55,1,229,0,110,Y,0.5,0
35,,161,0,153,N,-0.1,0
40,1,281,,167,N,0,0
,1,0,1,150,N,0,1
61,1,0,,77,N,2.5,1
58,1,263,0,140,Y,2,1
46,0,238,,90,N,0,0
53,1,246,1,173,N,0,0
67,1,270,1,125,N,2.5,1
64,1,263,0,105,,0.2,0
60,,293,,170,N,1.2,1
45,1,0,0,138,N,-0.1,0
57,0,308,0,98,N,1,0
41,1,157,0,182,N,0,0
40,1,240,,80,Y,0,0
,0,269,0,121,Y,0.2,0
39,1,321,0,182,N,0,0
61,1,0,0,117,Y,2,1
41,1,0,0,111,N,0,0
57,1,264,0,100,N,0,1
52,1,298,1,178,N,1.2,0
68,1,181,1,135,N,0.2,0
60,0,318,0,160,N,,0
,1,298,0,185,N,0,0
,0,330,0,169,N,0,1
52,1,255,0,161,Y,0,1
46,,204,0,172,,0,0
59,1,0,1,175,N,2.6,1
61,1,260,0,140,Y,3.6,1
67,1,0,0,125,,,1
63,1,0,0,111,Y,0,1
58,1,230,0,165,N,2.5,1
49,,0,0,145,N,3,1
43,,213,0,165,N,,0
72,1,0,0,,N,1.6,0
59,1,0,,115,N,0,1
60,1,258,0,141,Y,2.8,1
50,0,219,0,158,N,,0
51,,0,1,92,N,0,1
34,1,156,0,180,N,0,1
34,0,161,0,190,,0,0
41,0,198,0,168,N,0,0
49,1,206,0,170,N,0,1
55,,289,0,145,Y,0.8,1
56,0,288,1,133,Y,4,1
,1,0,0,100,Y,1,1
62,1,0,,72,Y,0,1
63,1,0,0,98,Y,0,1
42,0,,0,137,N,0,0
49,1,185,0,130,N,0,0
67,0,277,0,,,0,0
63,1,0,0,84,Y,0,1
52,0,210,0,148,N,0,0
60,1,0,0,63,Y,0.5,1
55,1,262,0,155,N,0,0
58,1,0,1,,N,0.5,1
50,1,0,0,,Y,0.5,1
39,,200,0,160,Y,1,0
74,1,216,1,116,Y,1.8,1
67,1,0,1,150,,1.5,1
56,1,0,0,99,N,0,1
50,1,233,0,163,N,0.6,1
41,0,306,0,163,N,0,0
46,1,310,0,126,N,0,1
59,1,0,0,131,Y,1.5,0
69,,208,0,140,Y,2,1
56,1,276,0,128,Y,1,0
35,1,257,0,140,N,0,1
53,1,0,1,,N,0,1
44,1,209,0,127,N,0,0
41,0,250,0,142,N,0,0
44,1,219,0,188,N,0,0
54,1,0,1,150,N,1.5,1
,0,325,0,154,Y,0,0
52,1,186,0,190,N,0,0
52,1,266,0,134,Y,2,1
,1,0,1,139,Y,0.7,1
35,1,308,0,180,N,0,0
63,1,260,0,112,Y,3,1
62,0,294,1,106,N,,1
51,,0,1,163,N,0,1
62,0,268,0,160,N,3.6,1
56,1,0,,122,Y,1,1
62,1,0,1,128,Y,2.5,1
62,0,0,1,,Y,1.7,1
61,1,282,0,,Y,4,1
44,1,412,0,170,N,0,0
46,1,311,0,120,Y,1.8,1
54,1,283,0,195,N,0,1
67,1,237,0,71,N,1,1
66,,278,0,152,N,0,0
56,1,388,0,122,Y,2,1
52,1,325,0,172,N,0.2,0
36,1,340,0,184,N,1,0
59,1,234,0,161,N,0.5,0
70,1,0,0,92,Y,0,1
,1,0,1,130,Y,1.1,1
55,1,204,1,126,Y,1.1,1
50,1,196,0,163,N,0,0
31,1,270,0,153,Y,1.5,1
54,1,237,0,150,Y,1.5,1
60,1,0,0,140,Y,1.5,0
51,1,160,,150,N,2,1
57,1,0,1,100,Y,0,1
53,1,175,1,160,N,0.3,0
46,1,230,0,150,N,0,0
43,1,0,0,140,Y,0.5,1
57,1,276,0,112,Y,0.6,1
57,1,168,0,174,N,,0
49,0,271,0,162,N,0,0
42,1,244,0,178,N,0.8,0
63,1,0,1,160,N,3,0
44,1,235,0,180,N,0,0
56,1,256,1,142,Y,0.6,1
57,1,270,1,160,Y,2,1
41,,0,1,176,N,1.6,1
44,1,197,0,177,N,,1
62,0,193,,116,N,0,0
50,1,349,0,120,Y,1,1
48,0,177,1,148,N,0,0
39,0,220,0,152,N,0,0
41,0,184,0,180,N,0,0
37,1,283,0,98,N,0,0
55,1,270,0,140,N,0,0
69,1,0,0,104,Y,1.6,1
70,1,0,1,157,,2,1
55,0,342,0,166,N,1.2,0
45,0,237,0,170,N,0,0
64,0,303,0,122,N,2,0
59,1,0,1,,Y,0,1
62,1,254,0,93,Y,0,1
63,0,252,0,172,N,0,0
42,1,198,0,155,N,0,0
63,1,252,0,140,Y,2,1
61,1,0,1,145,N,1,1
64,1,0,1,106,N,2,1
40,1,167,0,,Y,2,1
59,1,233,0,117,Y,1.3,1
71,1,221,0,115,Y,0,1
48,,163,0,175,N,2,0
48,1,,0,168,N,1,1
56,1,213,1,125,Y,1,1
60,1,0,1,149,,0.4,1
57,1,274,0,88,Y,1.2,1
48,1,220,1,162,N,0,1
43,1,303,0,181,N,1.2,0
,1,0,1,120,Y,0,1
70,,192,0,129,Y,3,1
49,1,265,0,175,N,0,1
65,1,248,0,158,N,0.6,1
,0,275,0,129,N,0,0
58,1,300,0,171,N,0,1
38,1,289,0,105,Y,1.5,1
46,1,231,0,147,N,3.6,1
62,1,0,1,78,N,2,1
51,0,303,0,150,Y,1,1
65,0,417,1,157,N,0.8,0
64,1,227,0,,N,0.6,0
67,1,369,0,110,Y,1.9,1
37,0,,0,142,N,0,0
69,1,0,1,129,N,1,1
,1,0,0,148,N,0,1
61,1,,0,138,Y,1.9,1
56,1,0,0,97,N,0,0
49,1,341,0,120,Y,1,1
66,1,139,0,94,Y,1,1
77,1,304,0,162,Y,0,1
69,1,,1,110,Y,,1
51,0,,0,142,,1.5,0
34,1,220,0,,N,0,0
,1,166,0,125,,3.6,1
43,1,247,1,143,Y,0.1,1
51,1,0,1,126,N,2.2,1
55,1,295,0,136,N,0,1
66,0,226,0,114,N,2.6,0
53,0,234,0,160,N,0,0
48,1,329,0,92,Y,1.5,1
64,0,0,0,140,Y,1,1
60,1,216,0,110,Y,2.5,1
63,1,230,1,105,Y,1,1
39,0,199,0,179,,0,0
57,1,261,0,141,N,0.3,1
37,1,194,0,150,N,0,0
47,0,248,1,170,N,0,1
59,1,169,0,140,N,0,0
45,0,236,0,152,Y,0.2,0
53,1,0,0,,Y,1,1
56,1,283,1,103,Y,1.6,1
55,1,0,0,125,Y,2.5,1
50,1,168,0,160,N,0,0
46,1,231,0,115,Y,,1
61,1,0,1,113,N,1.4,1
71,0,265,1,130,N,0,0
55,1,0,0,155,N,1.5,1
58,1,230,,150,N,0,0
61,1,0,,70,N,0,1
51,1,339,0,127,Y,1.7,1
67,1,212,0,150,N,0.8,1
53,1,195,0,140,N,0,0
61,1,200,1,100,N,1.5,1
55,1,214,1,180,N,0.4,0
57,1,255,0,92,Y,3,1
63,1,0,1,109,N,-0.9,1
58,1,,0,99,Y,2,1
61,0,294,0,120,Y,1,0
54,1,198,0,,Y,2,1
64,1,212,0,132,N,2,1
53,1,0,0,106,N,0,1
,1,274,0,,N,0.5,1
43,1,211,0,,N,0,0
55,1,223,1,100,N,0,1
65,,0,1,122,N,1.2,1
37,1,223,0,,N,0,0
30,0,237,0,170,N,0,0
54,0,230,1,140,N,0,0
68,1,277,0,,N,1,0
50,1,341,0,125,Y,2.5,1
50,1,243,0,128,N,2.6,1
63,1,0,0,120,,1.5,0
63,0,0,0,130,N,0.1,0
44,1,288,0,150,Y,3,1
42,1,180,0,150,N,0,0
57,1,289,1,124,N,1,1
58,,213,0,110,N,0,0
66,1,302,0,151,N,0.4,0
62,1,231,0,146,,1.8,0
53,1,203,1,155,Y,3.1,1
54,1,195,0,122,N,0,0
,1,100,0,138,Y,0,0
40,1,275,0,150,N,0,0
53,1,0,0,141,Y,2,0
41,1,171,0,128,Y,1.5,0
44,0,242,0,149,N,0.3,0
48,1,238,0,118,N,0,0
62,1,208,1,140,N,0,0
60,0,178,1,96,N,0,0
64,0,276,0,140,Y,1,1
51,1,188,0,145,N,0,0
38,1,297,0,150,N,0,0
58,0,319,1,152,N,0,1
43,0,223,0,142,N,0,0
51,0,0,,127,Y,1.5,1
42,1,315,0,125,Y,1.8,1
56,1,249,1,144,Y,,1
48,1,275,,150,Y,2,1
61,0,,1,120,Y,0,0
61,1,337,0,98,Y,0,1
54,1,,0,142,,0,0
49,1,253,0,174,,0,0
53,1,246,0,116,Y,0,1
39,1,273,,132,N,0,0
62,1,220,0,86,N,0,0
29,1,243,0,160,N,0,0
43,1,291,0,155,N,0,1
56,1,0,1,98,N,-2,1
53,1,260,0,112,Y,3,0
60,1,316,1,122,Y,1.7,1
,1,179,0,100,N,0,0
51,0,194,0,170,N,0,0
53,0,468,0,127,,0,0
51,0,220,0,160,Y,2,0
52,1,199,1,162,N,0.5,0
65,1,248,0,140,Y,4,1
59,0,338,1,130,Y,1.5,1
,0,265,0,122,N,0.6,0
60,1,218,0,,Y,1.5,1
50,,200,0,126,Y,0.9,1
56,1,193,0,162,N,1.9,0
45,1,309,0,147,Y,0,1
,1,131,0,115,Y,1.2,1
48,1,,0,102,Y,3,1
52,1,404,0,124,Y,2,1
70,1,322,0,109,N,2.4,1
62,1,170,,120,Y,3,1
65,1,312,0,113,Y,1.7,1
75,,310,1,112,Y,2,0
38,1,0,0,179,N,-1.1,0
55,,260,0,73,N,2,1
60,1,0,0,118,Y,0,0
54,0,309,0,140,N,0,0
56,1,240,0,169,N,0,0
56,1,221,0,163,,0,0
32,1,0,1,127,,0.7,1
72,1,214,0,102,Y,1,1
56,0,279,0,150,N,1,1
49,1,234,0,140,Y,1,1
48,1,260,0,115,N,2,1
40,0,,0,130,N,2,1
44,0,141,0,175,N,0.6,0
53,0,274,0,130,N,0,0
54,,333,1,154,N,0,1
42,1,0,1,128,Y,,1
52,1,201,0,158,N,0.8,0
43,1,315,0,162,N,1.9,0
47,0,235,0,145,N,2,0
54,0,294,0,100,Y,,1
58,1,220,0,144,N,0.4,0
65,0,225,0,114,N,1,1
65,1,282,1,174,N,1.4,1
47,1,257,,156,N,0,0
64,1,258,1,130,N,0,1
53,1,0,0,120,N,0.7,0
54,0,274,0,,Y,1.5,1
51,0,256,0,149,N,0.5,0
45,1,224,0,144,N,0,0
49,0,180,0,156,N,1,1
60,1,282,0,142,Y,2.8,1
42,,,0,146,N,0,0
48,1,0,1,128,N,0,1
,0,0,,156,N,0,1
63,1,223,0,115,N,0,1
,1,163,0,116,,0,0
57,1,0,1,98,Y,2,1
51,1,299,0,173,Y,1.6,1
60,0,240,0,171,N,,0
64,1,223,0,128,N,0.5,0
52,1,342,0,96,Y,1,1
59,1,274,0,154,Y,2,0
61,,0,0,105,Y,0,1
65,0,269,,148,N,0.8,0
52,1,284,0,118,N,0,0
58,1,203,1,123,Y,1.2,1
42,1,240,0,160,,0,0
63,0,195,0,179,N,0,0
55,1,0,1,155,N,0.1,1
57,1,0,1,131,Y,1.4,1
60,1,185,0,155,N,3,1
57,1,197,0,100,N,0,0
54,1,309,0,156,N,0,0
52,1,182,0,150,N,0,1
52,1,230,0,160,N,0,1
56,1,0,1,82,N,-1,1
52,1,223,0,169,N,0,0
53,1,0,1,120,N,1.5,1
50,1,,0,135,N,0,0
54,1,182,0,141,N,0.1,0
65,1,177,0,140,,0.4,0
60,1,253,,144,Y,1.4,1
58,1,213,,140,N,0,1
38,1,117,0,134,Y,2.5,1
55,1,,0,92,N,,1
59,1,0,0,115,Y,1,1
59,1,176,1,90,N,1,1
38,1,190,0,,Y,1,1
35,1,198,,130,Y,1.6,1
52,0,180,0,140,Y,,0
49,1,266,0,171,,0.6,0
59,0,188,0,124,N,1,0
38,1,0,0,128,Y,0,1
69,1,0,0,130,N,0,1
,1,0,1,182,N,0.7,1
47,0,257,0,135,N,1,0
54,0,312,0,130,N,0,0
58,1,458,1,69,N,1,0
62,1,153,,97,Y,1.6,1
72,1,211,0,109,Y,1.4,1
48,1,263,1,110,N,0,1
34,1,214,0,168,N,0,0
44,1,,0,135,N,0,0
48,0,227,0,130,Y,1,0
58,1,232,0,124,Y,1.4,1
65,1,254,0,127,N,2.8,1
57,1,0,0,120,Y,2,1
45,1,219,0,130,Y,1,1
68,1,0,0,120,Y,0,1
59,1,213,0,100,N,0,0
62,0,263,0,97,N,1.2,1
,0,347,0,126,Y,0.8,0
33,0,246,0,150,Y,1,1
57,1,265,0,145,Y,1,1
58,,179,0,160,N,0,0
59,1,160,0,117,Y,1,1
62,1,267,0,99,Y,1.8,1
42,1,268,0,136,N,0,0
43,1,288,0,,Y,2,1
74,1,0,1,123,,1.3,1
42,0,209,0,173,,0,0
61,1,0,1,86,N,1.5,1
39,0,182,0,180,N,0,0
42,1,196,0,150,N,0,0
47,1,276,1,,Y,,0
59,,0,1,94,N,0,1
32,1,529,0,130,N,0,1
44,0,218,0,115,N,0,0
48,1,245,0,180,N,0.2,0
55,1,326,0,155,N,0,0
50,0,254,0,159,N,0,0
53,0,216,0,115,N,0,0
60,0,305,0,161,N,0,1
60,1,248,0,125,N,1,1
57,1,335,,143,Y,3,1
45,1,236,0,144,N,0.1,0
55,1,245,1,131,Y,,1
,0,204,0,172,N,1.4,0
53,1,0,1,140,Y,1.5,1
60,1,0,1,143,N,2.4,1
61,1,0,1,110,Y,1.5,1
46,1,280,0,120,N,0,0
49,1,188,0,139,N,2,1
67,1,219,0,122,Y,2,1
45,1,308,0,170,N,0,0
56,1,85,0,140,N,0,0
49,1,297,0,132,N,1,0
53,1,282,0,95,Y,2,1
57,1,229,0,150,N,0.4,1
57,0,236,0,174,N,0,1
54,1,203,0,137,N,,0
54,,273,0,152,N,0.5,0
51,1,213,0,125,Y,1.4,0
,1,,0,160,N,3,1
54,1,286,0,116,Y,3.2,1
62,1,220,0,86,N,0,0
48,1,272,0,139,N,0.2,0
68,0,211,0,115,N,1.5,0
32,1,254,0,155,N,0,0
29,1,263,0,170,N,0,0
34,1,0,1,154,N,0.2,1
74,1,258,1,130,Y,4,1
,1,295,0,162,N,0,0
74,1,237,1,94,N,0,1
32,1,225,0,184,N,0,0
64,1,244,1,116,Y,1.5,1
47,1,249,0,150,N,0,0
39,1,307,0,140,N,0,0
48,0,308,0,156,,2,0
59,1,,0,162,N,0.8,1
43,0,341,1,136,Y,3,1
38,1,231,0,182,,3.8,1
54,1,246,0,110,N,0,0
62,1,258,0,150,Y,1.3,1
55,1,248,0,96,Y,,1
76,1,,0,120,N,3.5,1
53,1,243,0,155,N,0,0
36,1,160,0,172,N,0,0
42,1,228,0,152,Y,1.5,0
75,1,225,0,112,Y,3,1
55,0,327,0,117,Y,3.4,1
60,1,206,0,132,Y,2.4,1
54,0,288,1,159,,0,0
56,1,0,0,123,Y,2.5,1
54,1,0,0,155,N,0,1
54,1,224,0,122,N,2,1
66,1,246,0,120,Y,0,1
55,0,320,0,155,N,0,0
48,1,355,0,99,Y,2,1
67,1,299,0,,Y,0.9,1
52,,272,0,139,N,0,0
44,1,233,0,179,Y,0.4,0
45,1,,0,148,Y,3,0
54,1,242,0,91,Y,1,1
54,1,,0,108,Y,0,1
62,0,394,0,157,N,1.2,0
74,1,310,0,,Y,1.5,1
58,1,0,1,105,Y,0,1
48,1,208,0,159,Y,1.5,1
56,1,0,1,103,Y,1,1
44,1,263,,173,N,0,0
39,1,,,160,N,0,0
54,1,365,0,134,N,1,0
58,1,0,0,106,,1.5,1
60,1,0,0,133,,2,0
45,0,297,0,144,N,0,0
41,1,214,0,168,N,2,0
49,0,269,,163,N,0,0
48,1,268,0,103,Y,1,1
64,1,0,0,122,Y,1,1
59,1,326,0,140,Y,3.4,1
52,1,0,0,110,Y,2,1
58,1,270,0,111,Y,0.8,1
58,1,216,0,131,Y,,1
43,1,0,0,145,Y,2,1
68,1,193,1,141,N,3.4,1
60,1,281,,118,Y,1.5,1
46,1,238,0,140,Y,1,0
62,0,0,1,143,N,0,1
68,1,274,1,150,Y,1.6,1
54,0,267,0,167,N,0,0
70,1,245,0,143,N,0,0
49,0,208,0,160,,0,0
57,1,192,0,148,N,0.4,0
67,0,223,0,142,N,0.3,0
43,0,186,0,154,N,0,0
52,1,331,0,94,Y,2.5,1
51,1,218,1,139,N,0.1,0
38,1,282,0,170,N,0,1
,1,171,0,110,Y,2,1
49,0,207,0,135,N,0,0
57,1,207,,96,Y,1,0
63,1,254,0,147,N,1.4,1
29,1,204,,202,N,0,0
54,1,216,0,140,N,0,1
54,1,220,0,140,Y,3,1
55,1,0,0,83,N,0,1
52,1,225,0,120,Y,2,1
57,,354,0,163,Y,0.6,0
58,0,393,0,110,Y,1,1
54,1,,0,113,N,1.4,1
37,1,315,0,158,N,0,0
54,0,221,0,138,N,1,0
41,1,172,0,158,N,0,1
53,1,0,0,115,N,0,1
71,,302,,162,N,0.4,0
,1,290,0,153,N,0,1
48,1,245,0,160,,0,0
37,1,250,0,187,N,3.5,0
44,1,491,0,135,N,0,1
52,1,259,0,170,N,0,0
49,1,222,0,122,N,2,1
46,1,272,1,175,N,2,1
62,0,244,0,154,Y,1.4,1
59,1,218,1,134,N,2.2,1
39,1,219,0,140,N,1.2,1
58,1,318,0,140,N,4.4,1
57,1,311,1,148,Y,2,1
,1,277,0,160,N,0,0
46,1,0,1,133,N,-2.6,1
50,0,0,1,,N,0,1
52,0,225,0,140,N,0,0
43,1,177,0,,Y,2.5,1
56,1,,1,150,Y,3,1
55,0,250,0,161,N,,0
63,1,308,0,138,Y,2,1
66,1,212,0,132,Y,0.1,1
63,1,267,1,88,Y,2,1
64,1,193,0,,Y,,1
48,1,255,1,175,N,0,0
50,,233,0,121,Y,2,1
48,1,211,0,138,N,0,0
46,1,240,0,140,N,0,0
40,1,,1,144,N,0,1
51,0,200,0,120,N,0.5,0
42,1,226,0,178,N,0,0
45,1,260,0,185,N,0,0
60,0,258,0,157,N,2.6,1
55,1,,0,130,Y,3,1
60,1,186,1,140,Y,0.5,1
66,1,228,0,138,N,2.3,0
,0,160,0,185,N,0,0
41,1,,0,170,N,0,0
