NumeroCredito,NumeroCuota,CuotadelMes,AtrasoPago,CapitalPagado,InteresesPagados,IVA Pagado
300014,1,2457.19,4,1732.03,625.14,100.02
300014,2,2445.95,15,1792.31,563.49,90.16
300014,3,2458.54,2,1854.68,520.57,83.29
300014,4,2471.56,-2,1919.22,476.15,76.18
300014,5,2485.03,7,1986.01,430.19,68.83
300014,6,2498.97,12,2055.12,382.63,61.22
300014,7,2513.41,9,2126.64,333.42,53.35
300014,8,2528.33,3,2200.64,282.49,45.20
300015,1,2069.49,16,1009.58,913.72,146.19
300015,2,2042.38,-5,1044.71,860.07,137.61
300015,3,2049.72,9,1081.06,835.05,133.61
300015,4,2057.30,0,1118.69,809.15,129.46
300015,5,0.00,-2,0.00,0.00,0.00
300015,6,0.00,14,0.00,0.00,0.00
300015,7,0.00,-5,0.00,0.00,0.00
300015,8,0.00,7,0.00,0.00,0.00
300016,1,2505.22,-4,1222.14,1106.10,176.98
300016,2,2472.42,10,1264.68,1041.15,166.58
300016,3,2481.29,12,1308.69,1010.86,161.74
300016,4,2490.48,-2,1354.23,979.52,156.72
300016,5,2499.99,20,1401.36,947.09,151.53
300016,6,2509.83,11,1450.13,913.54,146.17
300016,7,2520.00,12,1500.58,878.81,140.61
300016,8,2530.54,2,1552.80,842.87,134.86
300017,1,1835.83,18,1294.05,467.06,74.73
300017,2,1827.43,-5,1339.07,421.00,67.36
300017,3,1836.83,8,1385.68,388.93,62.23
300017,4,1846.57,18,1433.90,355.75,56.92
300017,5,1856.63,13,1483.80,321.41,51.43
300017,6,1867.05,2,1535.44,285.88,45.74
300017,7,1877.82,10,1588.86,249.10,39.86
300017,8,1888.98,-4,1644.15,211.06,33.77
300018,1,958.13,9,472.28,418.84,67.01
300018,2,959.80,-5,480.50,413.19,66.11
300018,3,961.48,1,488.85,407.44,65.19
300018,4,963.20,-5,497.35,401.59,64.25
300018,5,964.94,13,506.01,395.63,63.30
300018,6,966.71,14,514.81,389.57,62.33
300018,7,968.52,-3,523.77,383.41,61.35
300018,8,970.37,18,532.89,377.14,60.34
300018,9,972.23,9,542.16,370.76,59.32
300018,10,974.14,-1,551.60,364.26,58.28
300018,11,976.07,-3,561.19,357.66,57.23
300018,12,978.05,-4,570.95,350.94,56.15
300018,13,980.06,16,580.90,344.10,55.06
300018,14,982.10,14,591.00,337.15,53.94
300018,15,984.16,6,601.28,330.07,52.81
300018,16,0.00,9,0.00,0.00,0.00
300019,1,4395.90,-5,2582.80,1563.02,250.08
300019,2,4355.53,17,2672.67,1450.74,232.12
300019,3,4374.30,18,2765.69,1386.74,221.88
300019,4,4393.72,1,2861.93,1320.50,211.28
300019,5,4413.81,2,2961.53,1251.97,200.32
300019,6,4434.61,12,3064.59,1181.05,188.97
300019,7,4456.12,19,3171.23,1107.66,177.23
300019,8,4478.39,12,3281.60,1031.72,165.08
300020,1,1650.22,3,813.41,721.39,115.42
300020,2,1653.08,5,827.57,711.65,113.86
300020,3,1655.99,15,841.97,701.74,112.28
300020,4,1658.93,17,856.61,691.66,110.67
300020,5,1661.95,17,871.52,681.40,109.02
300020,6,1665.01,-2,886.68,670.97,107.36
300020,7,1668.11,14,902.11,660.35,105.66
300020,8,1671.29,6,917.81,649.55,103.93
300020,9,1674.50,-2,933.77,638.56,102.17
300020,10,1677.78,10,950.03,627.38,100.38
300020,11,1681.12,20,966.56,616.00,98.56
300020,12,1684.50,20,983.37,604.43,96.71
300020,13,1687.96,7,1000.48,592.66,94.82
300020,14,1691.48,10,1017.90,580.67,92.91
300020,15,1695.04,-2,1035.60,568.48,90.96
300020,16,1698.68,10,1053.62,556.09,88.97
300021,1,2123.96,16,1036.15,937.77,150.04
300021,2,2096.13,7,1072.21,882.70,141.23
300021,3,2103.66,4,1109.51,857.03,137.12
300021,4,2111.46,5,1148.13,830.45,132.87
300021,5,2119.51,3,1188.09,802.95,128.47
300021,6,2127.85,-5,1229.43,774.50,123.92
300021,7,2136.48,2,1272.21,745.06,119.21
300021,8,0.00,11,0.00,0.00,0.00
300022,1,1171.08,18,577.24,511.93,81.91
300022,2,1173.11,11,587.29,505.02,80.80
300022,3,0.00,8,0.00,0.00,0.00
300022,4,0.00,-4,0.00,0.00,0.00
300022,5,0.00,14,0.00,0.00,0.00
300022,6,0.00,8,0.00,0.00,0.00
300022,7,0.00,5,0.00,0.00,0.00
300022,8,0.00,6,0.00,0.00,0.00
300022,9,0.00,-2,0.00,0.00,0.00
300022,10,509.90,15,509.90,0.00,0.00
300022,11,1193.01,9,685.92,437.15,69.94
300022,12,1195.43,-4,697.86,428.94,68.63
300022,13,1197.88,3,710.00,420.58,67.29
300022,14,1200.36,15,722.36,412.07,65.93
300022,15,1202.90,6,734.92,403.43,64.55
300022,16,0.00,14,0.00,0.00,0.00
300023,1,1178.22,13,584.44,511.88,81.90
300023,2,1182.32,19,604.78,497.88,79.66
300023,3,1186.57,5,625.82,483.40,77.34
300023,4,1190.96,0,647.60,468.41,74.95
300023,5,1195.50,18,670.13,452.90,72.46
300023,6,1200.21,0,693.46,436.85,69.90
300023,7,0.00,0,0.00,0.00,0.00
300024,1,2356.70,15,1169.01,1023.87,163.82
300024,2,2364.91,5,1209.69,995.88,159.34
300024,3,2373.39,3,1251.78,966.91,154.70
300024,4,2380.42,-3,1293.58,936.94,149.91
300024,5,2391.29,-2,1340.43,905.92,144.95
300024,6,2400.70,5,1387.07,873.82,139.81
300024,7,2410.43,16,1435.34,840.59,134.49
300025,1,2785.24,6,1381.58,1210.05,193.61
300025,2,2794.93,17,1429.65,1176.96,188.31
300025,3,2804.98,-2,1479.41,1142.73,182.84
300025,4,2815.37,13,1530.89,1107.31,177.17
300025,5,2826.10,13,1584.16,1070.64,171.30
300025,6,2837.23,1,1639.30,1032.70,165.23
300025,7,2848.74,6,1696.34,993.45,158.95
300026,1,3320.91,19,1647.28,1442.78,230.84
300026,2,0.00,1,0.00,0.00,0.00
300026,3,0.00,1,0.00,0.00,0.00
300026,4,0.00,20,0.00,0.00,0.00
300026,5,1575.46,15,1575.46,0.00,0.00
300026,6,3382.91,13,1954.58,1231.32,197.01
300026,7,3396.63,9,2022.59,1184.52,189.52
300027,1,1031.58,2,628.50,347.48,55.60
300027,2,1062.57,5,639.44,364.77,58.36
300027,3,1064.83,19,650.56,357.12,57.14
300027,4,1067.10,1,661.88,349.33,55.89
300027,5,1069.42,10,673.40,341.40,54.62
300027,6,1071.79,0,685.11,333.34,53.33
300027,7,1074.19,7,697.03,325.14,52.02
300027,8,1076.64,14,709.16,316.79,50.69
300027,9,1079.14,0,721.51,308.30,49.33
300027,10,1081.67,-5,734.06,299.66,47.95
300027,11,1084.24,-2,746.83,290.87,46.54
300027,12,1086.86,15,759.82,281.93,45.11
300027,13,1089.53,17,773.05,272.83,43.65
300027,14,1092.24,10,786.49,263.58,42.17
300027,15,1095.00,11,800.18,254.16,40.67
300027,16,1097.81,10,814.11,244.58,39.13
300028,1,1660.32,17,823.58,721.33,115.41
300028,2,1666.11,13,852.24,701.61,112.26
300028,3,0.00,1,0.00,0.00,0.00
300028,4,0.00,0,0.00,0.00,0.00
300028,5,0.00,15,0.00,0.00,0.00
300028,6,0.00,-3,0.00,0.00,0.00
300028,7,0.00,1,0.00,0.00,0.00
300029,1,1398.34,18,573.02,711.48,113.84
300029,2,1164.55,-1,583.00,501.34,80.21
300029,3,1166.59,2,593.14,494.36,79.10
300029,4,1168.67,14,603.46,487.25,77.96
300029,5,1170.79,18,613.96,480.03,76.80
300029,6,1172.95,19,624.64,472.68,75.63
300029,7,1175.14,20,635.51,465.20,74.43
300029,8,1177.36,16,646.57,457.59,73.21
300029,9,1179.65,11,657.83,449.85,71.98
300029,10,1181.95,4,669.26,441.97,70.72
300029,11,1184.30,-4,680.91,433.96,69.43
300029,12,1186.69,19,692.75,425.81,68.13
300029,13,1189.12,8,704.82,417.51,66.80
300029,14,1191.59,1,717.07,409.07,65.45
300029,15,0.00,6,0.00,0.00,0.00
300030,1,3736.80,10,2225.15,1303.14,208.50
300030,2,3752.42,6,2302.58,1249.86,199.98
300030,3,3768.59,2,2382.72,1194.72,191.15
300030,4,3785.31,1,2465.63,1137.65,182.02
300030,5,3802.63,19,2551.44,1078.60,172.58
300030,6,3820.53,3,2640.23,1017.51,162.80
300030,7,3839.08,20,2732.11,954.28,152.68
300031,1,2035.29,-5,1009.58,884.24,141.48
300031,2,2042.38,20,1044.71,860.07,137.61
300031,3,2049.72,17,1081.06,835.05,133.61
300031,4,2057.30,13,1118.69,809.15,129.46
300031,5,2065.16,6,1157.61,782.37,125.18
300031,6,2073.29,9,1197.90,754.64,120.74
300031,7,2081.70,0,1239.59,725.96,116.15
300032,1,2195.99,0,1089.29,954.06,152.65
300032,2,2203.64,15,1127.20,927.97,148.47
300032,3,2211.56,9,1166.43,900.98,144.16
300032,4,2219.75,4,1207.02,873.04,139.69
300032,5,2228.22,18,1249.02,844.14,135.06
300032,6,2236.98,16,1292.48,814.23,130.28
300032,7,2246.07,0,1337.47,783.28,125.32
300033,1,1646.67,11,980.54,574.25,91.88
300033,2,1653.56,6,1014.67,550.76,88.12
300033,3,1660.68,13,1049.98,526.47,84.23
300033,4,1668.05,4,1086.52,501.32,80.21
300033,5,1675.68,11,1124.33,475.30,76.05
300033,6,1683.57,3,1163.46,448.37,71.74
300033,7,1691.74,8,1203.94,420.52,67.28
300034,1,3027.33,-2,1476.83,1336.64,213.86
300034,2,2987.74,12,1528.28,1258.16,201.31
300034,3,2998.46,-1,1581.46,1221.56,195.45
300034,4,3009.57,15,1636.49,1183.69,189.39
300034,5,3021.06,8,1693.44,1144.50,183.12
300034,6,0.00,-5,0.00,0.00,0.00
300035,1,0.00,10,0.00,0.00,0.00
300035,2,0.00,8,0.00,0.00,0.00
300035,3,0.00,-1,0.00,0.00,0.00
300035,4,2673.64,13,1530.89,985.13,157.62
300035,5,2826.10,15,1584.16,1070.64,171.30
300035,6,2837.23,18,1639.30,1032.70,165.23
300036,1,2995.43,-2,1461.29,1322.54,211.61
300036,2,2956.20,20,1512.15,1244.87,199.18
300036,3,2966.82,-5,1564.77,1208.66,193.39
300036,4,2977.80,1,1619.21,1171.20,187.39
300036,5,2989.17,4,1675.57,1132.42,181.19
300036,6,3000.93,12,1733.87,1092.29,174.77
300037,1,2505.22,17,1222.14,1106.10,176.98
300037,2,2472.42,6,1264.68,1041.15,166.58
300037,3,0.00,10,0.00,0.00,0.00
300037,4,0.00,1,0.00,0.00,0.00
300037,5,0.00,-1,0.00,0.00,0.00
300037,6,0.00,14,0.00,0.00,0.00
300038,1,1415.88,5,690.72,625.14,100.02
300038,2,1397.34,13,714.76,588.43,94.15
300038,3,1402.35,12,739.64,571.31,91.41
300038,4,1407.55,11,765.37,553.60,88.58
300038,5,1412.91,18,792.00,535.27,85.64
300038,6,1418.48,-3,819.57,516.30,82.61
300039,1,2723.36,-5,1328.56,1202.41,192.39
300039,2,2687.70,3,1374.80,1131.81,181.09
300039,3,2697.35,12,1422.64,1098.89,175.82
300039,4,2707.34,7,1472.14,1064.82,170.37
300039,5,2717.68,6,1523.38,1029.56,164.73
300039,6,2728.37,8,1576.40,993.08,158.89
300040,1,1960.56,3,956.44,865.62,138.50
300040,2,1934.87,10,989.71,814.79,130.37
300040,3,1941.82,14,1024.16,791.09,126.57
300040,4,0.00,3,0.00,0.00,0.00
300040,5,0.00,15,0.00,0.00,0.00
300040,6,0.00,13,0.00,0.00,0.00
300041,1,0.00,2,0.00,0.00,0.00
300041,2,0.00,-5,0.00,0.00,0.00
300041,3,0.00,7,0.00,0.00,0.00
300041,4,0.00,8,0.00,0.00,0.00
300041,5,0.00,4,0.00,0.00,0.00
300041,6,0.00,12,0.00,0.00,0.00
300042,1,1089.07,13,531.29,480.85,76.94
300042,2,1074.81,-4,549.79,452.61,72.42
300042,3,1078.66,15,568.91,439.44,70.31
300042,4,0.00,4,0.00,0.00,0.00
300042,5,0.00,2,0.00,0.00,0.00
300042,6,0.00,-2,0.00,0.00,0.00
300043,1,1836.61,19,895.97,810.89,129.74
300043,2,1812.55,10,927.15,763.28,122.12
300043,3,1819.05,1,959.41,741.07,118.57
300043,4,1825.80,7,992.80,718.10,114.90
300043,5,0.00,9,0.00,0.00,0.00
300043,6,0.00,0,0.00,0.00,0.00
300044,1,402.50,-5,209.40,166.47,26.63
300044,2,402.84,-1,211.08,165.31,26.45
300044,3,403.18,14,212.78,164.14,26.26
300044,4,403.53,19,214.49,162.96,26.07
300044,5,403.87,15,216.21,161.78,25.88
300044,6,404.22,13,217.94,160.58,25.69
300044,7,404.57,10,219.70,159.38,25.50
300044,8,404.93,-2,221.46,158.16,25.31
300044,9,405.29,18,223.24,156.94,25.11
300044,10,405.65,7,225.04,155.70,24.91
300044,11,406.01,6,226.83,154.46,24.71
300044,12,406.38,0,228.67,153.21,24.51
300044,13,406.75,19,230.50,151.94,24.31
300044,14,407.13,18,232.35,150.67,24.11
300044,15,407.51,14,234.22,149.39,23.90
300044,16,407.88,9,236.09,148.09,23.69
300044,17,408.26,-5,237.99,146.79,23.49
300044,18,0.00,20,0.00,0.00,0.00
300044,19,0.00,7,0.00,0.00,0.00
300044,20,0.00,4,0.00,0.00,0.00
300044,21,0.00,12,0.00,0.00,0.00
300044,22,0.00,5,0.00,0.00,0.00
300044,23,0.00,-4,0.00,0.00,0.00
300044,24,0.00,-5,0.00,0.00,0.00
300044,25,0.00,0,0.00,0.00,0.00
300044,26,0.00,8,0.00,0.00,0.00
300044,27,0.00,6,0.00,0.00,0.00
300045,1,2232.89,18,1089.29,985.86,157.74
300045,2,2203.64,-1,1127.20,927.97,148.47
300045,3,2211.56,7,1166.43,900.98,144.16
300045,4,2219.75,7,1207.02,873.04,139.69
300045,5,2228.22,19,1249.02,844.14,135.06
300045,6,2236.98,-4,1292.48,814.23,130.28
300046,1,441.45,7,229.67,182.57,29.21
300046,2,441.82,15,231.51,181.30,29.01
300046,3,442.20,16,233.37,180.03,28.80
300046,4,442.58,11,235.24,178.73,28.60
300046,5,442.95,-2,237.13,177.43,28.39
300046,6,443.34,11,239.04,176.12,28.18
300046,7,443.73,10,240.96,174.80,27.97
300046,8,444.13,17,242.90,173.47,27.76
300046,9,444.52,19,244.85,172.13,27.54
300046,10,444.91,18,246.82,170.77,27.32
300046,11,445.31,11,248.79,169.41,27.11
300046,12,445.71,4,250.79,168.03,26.89
300046,13,446.12,-1,252.80,166.65,26.66
300046,14,446.53,-4,254.84,165.25,26.44
300046,15,446.94,-4,256.88,163.84,26.22
300046,16,447.36,7,258.95,162.43,25.99
300046,17,447.77,17,261.03,160.99,25.76
300046,18,448.21,-3,263.13,159.55,25.53
300046,19,448.63,20,265.24,158.10,25.30
300046,20,449.06,-3,267.37,156.63,25.06
300046,21,449.50,20,269.51,155.16,24.83
300046,22,449.93,13,271.68,153.66,24.59
300046,23,450.37,17,273.86,152.16,24.35
300046,24,450.81,5,276.06,150.65,24.10
300046,25,451.25,1,278.27,149.12,23.86
300046,26,451.71,13,280.51,147.59,23.61
300046,27,452.17,8,282.76,146.04,23.37
300047,1,272.63,19,141.84,112.75,18.04
300047,2,272.87,3,142.98,111.98,17.92
300047,3,273.10,4,144.13,111.18,17.79
300047,4,273.34,12,145.29,110.39,17.66
300047,5,273.57,15,146.45,109.59,17.53
300047,6,273.80,0,147.63,108.77,17.40
300047,7,274.04,14,148.81,107.95,17.27
300047,8,274.28,16,150.00,107.13,17.14
300047,9,274.52,16,151.21,106.30,17.01
300047,10,274.77,13,152.43,105.47,16.87
300047,11,275.03,0,153.66,104.63,16.74
300047,12,275.27,8,154.89,103.78,16.60
300047,13,275.52,4,156.13,102.93,16.47
300047,14,275.78,15,157.39,102.06,16.33
300047,15,276.03,14,158.65,101.19,16.19
300047,16,276.29,8,159.92,100.31,16.05
300047,17,276.55,14,161.21,99.43,15.91
300047,18,276.81,19,162.50,98.54,15.77
300047,19,277.07,11,163.81,97.64,15.62
300047,20,277.33,16,165.12,96.74,15.48
300047,21,277.60,20,166.45,95.82,15.33
300047,22,277.87,11,167.79,94.90,15.18
300047,23,278.14,17,169.13,93.97,15.04
300047,24,278.41,-5,170.49,93.04,14.89
300047,25,278.70,20,171.86,92.10,14.74
300047,26,278.97,10,173.24,91.15,14.58
300048,1,441.45,6,229.67,182.57,29.21
300048,2,441.82,10,231.51,181.30,29.01
300048,3,442.20,-3,233.37,180.03,28.80
300048,4,442.58,1,235.24,178.73,28.60
300048,5,442.95,5,237.13,177.43,28.39
300048,6,443.34,1,239.04,176.12,28.18
300048,7,443.73,12,240.96,174.80,27.97
300048,8,444.13,-3,242.90,173.47,27.76
300048,9,444.52,1,244.85,172.13,27.54
300048,10,444.91,0,246.82,170.77,27.32
300048,11,445.31,10,248.79,169.41,27.11
300048,12,445.71,3,250.79,168.03,26.89
300048,13,446.12,16,252.80,166.65,26.66
300048,14,446.53,13,254.84,165.25,26.44
300048,15,446.94,0,256.88,163.84,26.22
300048,16,447.36,14,258.95,162.43,25.99
300048,17,447.77,-1,261.03,160.99,25.76
300048,18,448.21,7,263.13,159.55,25.53
300048,19,448.63,18,265.24,158.10,25.30
300048,20,449.06,15,267.37,156.63,25.06
300048,21,449.50,-3,269.51,155.16,24.83
300048,22,449.93,11,271.68,153.66,24.59
300048,23,450.37,-2,273.86,152.16,24.35
300048,24,450.81,18,276.06,150.65,24.10
300048,25,451.25,20,278.27,149.12,23.86
300048,26,451.71,19,280.51,147.59,23.61
300049,1,679.90,11,536.63,123.51,19.76
300049,2,680.33,-2,538.78,122.02,19.52
300049,3,680.76,-4,540.94,120.54,19.29
300049,4,681.21,14,543.12,119.05,19.05
300049,5,681.64,-3,545.30,117.54,18.81
300049,6,682.08,-4,547.49,116.03,18.57
300049,7,682.54,3,549.69,114.53,18.32
300049,8,0.00,10,0.00,0.00,0.00
300049,9,0.00,2,0.00,0.00,0.00
300049,10,0.00,-3,0.00,0.00,0.00
300049,11,0.00,2,0.00,0.00,0.00
300049,12,0.00,3,0.00,0.00,0.00
300049,13,0.00,18,0.00,0.00,0.00
300049,14,0.00,-3,0.00,0.00,0.00
300049,15,0.00,20,0.00,0.00,0.00
300049,16,0.00,-5,0.00,0.00,0.00
300049,17,0.00,13,0.00,0.00,0.00
300049,18,0.00,17,0.00,0.00,0.00
300049,19,0.00,20,0.00,0.00,0.00
300049,20,0.00,18,0.00,0.00,0.00
300049,21,0.00,14,0.00,0.00,0.00
300049,22,0.00,11,0.00,0.00,0.00
300049,23,0.00,19,0.00,0.00,0.00
300049,24,0.00,13,0.00,0.00,0.00
300049,25,0.00,16,0.00,0.00,0.00
300049,26,0.00,4,0.00,0.00,0.00
300050,1,1342.64,15,655.00,592.80,94.85
300050,2,1325.05,18,677.79,557.99,89.28
300050,3,1329.82,0,701.38,541.76,86.68
300050,4,1334.74,18,725.78,524.96,83.99
300050,5,1339.83,9,751.04,507.58,81.21
300051,1,916.04,14,666.88,214.79,34.37
300051,2,917.12,14,672.23,211.11,33.78
300051,3,918.21,-3,677.63,207.39,33.18
300051,4,919.31,10,683.08,203.65,32.58
300051,5,920.42,10,688.57,199.88,31.98
300051,6,921.53,1,694.09,196.07,31.37
300051,7,922.66,9,699.67,192.23,30.76
300051,8,923.79,6,705.29,188.36,30.14
300051,9,924.93,9,710.95,184.47,29.51
300051,10,926.09,3,716.66,180.54,28.89
300051,11,927.24,6,722.41,176.58,28.25
300051,12,928.43,17,728.22,172.59,27.61
300051,13,929.59,20,734.06,168.56,26.97
300051,14,930.78,8,739.96,164.50,26.32
300051,15,931.99,-3,745.90,160.42,25.67
300051,16,933.20,11,751.89,156.30,25.01
