,precio,enganche_porcentaje,tasa_interes_anual,plazo_meses,fecha_solicitud,edad,estado_civil,vivienda_no_propia,ingresos_mensuales,gastos_mensuales,dependientes_economicos,escolaridad_licenciatura,credito_max_otorgado,creditos_activos,atraso_max_otras_instituciones,score_crediticio
5939,45000,0.1,60,6,17/04/2023,48,soltero,0,18818.75375,9076.358274,1,0,,,,
1142,34000,0.4,60,6,05/08/2022,55,casado,0,22525.5503,11279.98498,2,0,40512.79845,0.0,12.0,504.0
981,50000,0.2,120,12,21/08/2022,44,casado,0,10566.76098,3356.156029,2,0,56540.34705,1.0,29.0,591.0
2175,15000,0.2,60,12,20/07/2022,35,soltero,0,45385.97495,28156.63359,2,0,98786.62547,1.0,69.0,311.0
5523,50000,0.1,120,12,20/01/2023,23,union libre,0,15584.54088,8559.002749,1,0,36569.37401,2.0,17.0,529.0
3847,50000,0.2,60,6,24/09/2022,45,casado,0,27777.26475,12906.21305,1,0,,,,
957,50000,0.2,80,12,22/08/2022,49,divorciado,1,23113.93675,11007.1111,1,0,,,,
3503,22000,0.1,80,6,04/12/2022,55,soltero,1,21691.72293,11362.81359,4,0,32343.85707,1.0,65.0,480.0
3723,15000,0.3,120,18,04/07/2022,55,union libre,1,5000.0,5000.0,0,1,76114.18306,1.0,32.0,478.0
513,45000,0.1,80,18,29/06/2023,39,union libre,0,7547.048231,4757.852216,4,0,,,,
4220,15000,0.1,60,6,31/01/2023,28,soltero,1,44422.2988,19043.28707,0,0,,,,
3182,15000,0.3,120,24,23/05/2023,35,soltero,0,28733.36849,19951.72077,2,0,,,,
3178,34000,0.4,80,6,25/12/2022,44,soltero,0,10633.37944,8275.191489,0,0,,,,
5253,60000,0.3,60,18,17/10/2022,40,casado,0,17760.90975,8429.717492,1,1,,,,
418,15000,0.1,60,6,25/11/2022,67,casado,0,19470.70051,8421.053683,2,0,81721.14341,3.0,15.0,430.0
2675,15000,0.4,120,18,19/08/2022,60,soltero,0,36912.26065,19747.11277,4,0,,,,
5246,60000,0.4,80,18,23/06/2023,27,divorciado,1,32882.99394,22928.10771,3,0,78758.9207,1.0,13.0,678.0
165,15000,0.4,60,12,15/08/2022,26,casado,0,45329.86925,19243.52771,0,0,9265.480167,1.0,32.0,640.0
1130,34000,0.3,80,6,16/11/2022,35,divorciado,0,44959.1839,31809.49967,2,0,,,,
566,15000,0.2,120,18,27/03/2023,48,union libre,0,35940.69973,22661.40457,0,0,98183.1163,4.0,11.0,586.0
800,34000,0.4,80,12,10/06/2023,55,divorciado,0,31089.63413,10966.4239,1,0,19222.34038,0.0,25.0,531.0
1511,50000,0.1,80,6,01/01/2023,51,casado,0,35981.16367,12870.07742,1,0,6380.382866,1.0,17.0,595.0
938,22000,0.4,60,18,03/04/2023,78,casado,1,27234.53038,16837.15191,0,1,64239.71606,4.0,25.0,449.0
5414,60000,0.2,80,18,23/05/2023,36,casado,0,16112.57393,12384.36544,3,0,86837.61008,2.0,87.0,415.0
661,60000,0.1,80,6,07/02/2023,41,divorciado,0,55164.34841,28157.97858,3,0,,,,
2965,60000,0.2,80,12,22/05/2023,23,casado,1,43312.20078,34324.94546,1,0,95357.98668,1.0,18.0,538.0
5188,45000,0.2,80,18,22/03/2023,27,casado,0,22782.04777,10173.39953,2,0,94599.70039,0.0,3.0,596.0
4723,34000,0.3,60,24,27/01/2023,31,divorciado,0,61040.15918,37653.66143,0,0,,,,
3067,15000,0.4,80,18,05/07/2022,18,soltero,0,35793.39567,14986.01104,2,0,,,,
5735,22000,0.1,80,24,04/06/2023,53,divorciado,0,7776.807354,4704.893653,1,0,11672.64448,1.0,19.0,736.0
4449,45000,0.2,120,24,09/07/2022,35,soltero,0,36719.53883,16090.81489,0,0,,,,
5721,60000,0.2,120,12,12/11/2022,54,casado,1,49969.18746,27092.31502,0,1,,,,
105,45000,0.2,60,6,17/07/2022,41,soltero,0,22136.97239,13781.44448,1,1,13777.68179,1.0,75.0,686.0
4736,15000,0.1,60,18,14/08/2022,31,soltero,0,26266.51659,13184.33725,3,0,90332.67925,2.0,34.0,750.0
5225,60000,0.2,80,24,03/07/2022,39,casado,1,5000.0,5000.0,1,1,50518.05683,3.0,55.0,561.0
3424,50000,0.1,60,24,28/02/2023,42,union libre,0,45766.71524,20431.56232,0,0,,,,
3545,45000,0.2,120,18,20/04/2023,56,soltero,0,5000.0,5000.0,2,1,,,,
2110,60000,0.3,80,24,02/10/2022,72,union libre,1,42924.2937,33273.16007,0,1,,,,
2426,22000,0.3,60,12,21/12/2022,36,divorciado,0,37144.97488,16870.44628,2,0,,,,
4881,60000,0.4,60,18,11/01/2023,18,casado,0,20537.03324,14215.19424,1,0,88481.28522,4.0,20.0,408.0
4701,50000,0.3,80,6,11/03/2023,45,union libre,0,19643.33653,8651.587405,0,1,63883.76097,0.0,34.0,432.0
1734,15000,0.1,60,6,25/05/2023,42,divorciado,0,10207.79874,7349.64848,1,0,,,,
452,22000,0.3,60,6,20/08/2022,52,union libre,0,33241.14339,22482.07858,0,1,,,,
333,45000,0.4,60,18,30/03/2023,51,soltero,1,13805.56043,11956.79917,0,0,14292.46589,4.0,53.0,444.0
4514,50000,0.4,120,12,20/07/2022,44,soltero,0,29717.12727,16174.10862,1,0,21861.76057,1.0,49.0,689.0
5294,15000,0.2,80,24,05/11/2022,42,casado,0,24056.57516,11991.43817,4,0,,,,
3752,34000,0.4,60,18,14/11/2022,63,casado,0,18184.03898,11831.18667,1,0,,,,
463,22000,0.3,60,18,22/07/2022,34,casado,0,70886.35103,26450.52624,2,0,34312.01147,1.0,57.0,530.0
4256,22000,0.2,120,12,24/05/2023,58,casado,1,26943.45138,11029.32873,2,1,,,,
4185,50000,0.2,120,18,07/04/2023,33,casado,1,31318.73452,11340.16572,3,0,67089.82717,1.0,115.0,363.0
2913,15000,0.1,60,6,26/09/2022,33,casado,0,40741.49979,17147.10286,4,0,,,,
1801,22000,0.3,60,18,05/09/2022,55,soltero,0,19212.93206,5973.266649,1,0,57768.35315,2.0,19.0,559.0
5067,22000,0.2,80,6,10/12/2022,25,union libre,0,36643.53071,19927.07186,0,0,,,,
4895,34000,0.1,120,24,08/12/2022,80,divorciado,1,35832.83612,17020.07715,0,1,,,,
709,50000,0.4,80,18,18/12/2022,32,soltero,0,10053.0246,3827.461615,1,0,,,,
3480,15000,0.3,80,12,11/07/2022,40,soltero,0,39619.09419,14435.39622,0,0,,,,
4013,34000,0.4,80,24,18/03/2023,38,divorciado,0,27872.22488,21380.09108,4,1,,,,
5765,60000,0.1,60,24,16/03/2023,41,soltero,0,63715.20325,45442.67127,1,1,60581.48314,2.0,15.0,750.0
1600,22000,0.2,60,24,07/10/2022,47,union libre,1,44387.9745,26584.3178,2,0,,,,
1454,60000,0.1,60,18,20/04/2023,51,divorciado,0,10652.41567,6472.403385,2,1,,,,
2196,50000,0.2,120,24,27/11/2022,39,union libre,0,9543.732925,7124.633434,3,0,,,,
4027,60000,0.4,80,24,03/05/2023,62,union libre,1,14371.75116,7760.523873,3,1,32782.61344,2.0,135.0,500.0
2387,45000,0.1,60,6,12/03/2023,48,union libre,0,29843.66106,20500.59293,1,0,,,,
4818,50000,0.2,120,6,01/07/2022,44,soltero,1,22758.0809,11465.82124,0,0,,,,
5800,45000,0.1,60,6,12/10/2022,39,casado,0,13472.92099,11346.85609,3,1,33080.21356,1.0,50.0,544.0
1834,45000,0.1,60,18,16/01/2023,57,divorciado,0,9416.976001,4072.18828,0,0,30115.18908,5.0,3.0,516.0
4728,60000,0.2,120,6,24/02/2023,44,divorciado,0,22857.25364,16106.29553,1,0,,,,
4708,45000,0.4,60,18,25/09/2022,18,union libre,1,51626.76088,30324.35394,0,0,,,,
5858,34000,0.2,120,24,21/11/2022,46,soltero,1,10615.14743,8012.388073,2,1,14606.28413,2.0,45.0,579.0
268,45000,0.3,80,12,25/01/2023,34,casado,0,43196.83675,18602.04541,2,1,33702.70421,1.0,14.0,606.0
2104,15000,0.3,60,12,28/11/2022,51,divorciado,0,29999.24528,20408.48306,1,0,35562.58438,1.0,34.0,694.0
5973,34000,0.2,60,24,10/01/2023,31,casado,0,35976.22019,23945.9799,1,1,7640.165171,5.0,18.0,733.0
2086,34000,0.2,120,6,27/12/2022,44,casado,0,29580.54885,20777.30217,1,0,59953.25683,2.0,51.0,416.0
2718,60000,0.4,60,12,13/02/2023,34,divorciado,0,14691.82917,9565.72373,1,0,,,,
1369,34000,0.3,60,12,20/12/2022,56,union libre,0,5000.0,4406.168233,1,1,,,,
3883,50000,0.2,60,6,01/06/2023,41,divorciado,0,9217.651221,7466.424053,1,1,60771.68407,1.0,32.0,505.0
1939,50000,0.4,60,12,30/04/2023,42,casado,1,5747.108729,5747.108729,0,0,,,,
144,50000,0.4,120,6,20/04/2023,35,divorciado,0,5000.0,5000.0,2,0,88879.18925,4.0,69.0,584.0
5512,45000,0.3,120,24,07/11/2022,59,casado,0,20816.56431,10138.84433,0,1,84987.92227,1.0,0.0,486.0
3396,22000,0.4,60,18,01/06/2023,37,casado,0,27928.93732,11078.3898,3,0,11564.21032,1.0,14.0,596.0
5300,50000,0.4,80,12,07/04/2023,46,divorciado,1,43446.91458,15176.65754,1,0,69077.00226,2.0,5.0,583.0
5248,60000,0.1,60,12,28/05/2023,34,divorciado,0,50974.2996,32359.85138,2,0,90041.01083,0.0,6.0,669.0
4534,60000,0.2,80,18,22/11/2022,37,soltero,0,47967.0338,32713.31737,4,0,94186.2661,1.0,7.0,636.0
3363,50000,0.2,60,12,26/10/2022,82,casado,0,8120.899834,7691.350372,0,1,,,,
5903,15000,0.1,120,6,22/02/2023,26,union libre,0,43970.79583,26788.88493,4,0,36845.76723,0.0,8.0,492.0
1000,15000,0.4,80,6,23/03/2023,57,divorciado,1,15007.84669,11811.76043,4,0,82485.01988,0.0,51.0,515.0
3234,50000,0.1,120,6,24/11/2022,52,casado,1,17740.89714,8643.054423,1,0,6816.674349,0.0,26.0,539.0
589,50000,0.2,120,24,28/07/2022,31,casado,0,9896.768004,5055.879819,3,0,58745.91973,1.0,25.0,595.0
3335,45000,0.2,60,18,27/07/2022,51,soltero,1,32319.3475,14451.33787,2,0,,,,
5182,45000,0.4,60,6,08/01/2023,61,casado,1,21966.84119,11413.81459,1,0,,,,
2739,45000,0.2,60,24,15/03/2023,47,divorciado,0,9347.532003,8772.67548,0,1,,,,
4100,45000,0.1,120,18,10/07/2022,34,soltero,0,6950.633266,4804.450624,0,0,81065.80809,0.0,52.0,655.0
3976,34000,0.4,60,18,04/10/2022,56,divorciado,0,36868.76834,12030.11932,0,1,,,,
175,45000,0.2,80,24,15/01/2023,38,divorciado,0,22659.52523,14783.11845,1,1,79197.07211,1.0,37.0,419.0
2519,60000,0.2,80,24,14/07/2022,31,casado,0,19672.37689,9871.545995,0,1,18041.25228,1.0,32.0,508.0
5069,50000,0.1,120,24,10/08/2022,51,casado,1,11056.02215,9243.170044,0,1,,,,
4130,22000,0.1,60,6,16/02/2023,45,casado,0,27443.69255,17305.4347,4,1,,,,
2988,45000,0.3,80,6,24/08/2022,37,casado,0,35052.96078,25460.36518,1,0,,,,
2279,22000,0.3,80,12,01/07/2022,46,casado,1,44078.95342,18923.77193,0,0,,,,
3283,22000,0.3,80,6,31/12/2022,56,divorciado,0,29699.37737,19481.48869,0,0,,,,
670,15000,0.2,80,24,29/07/2022,60,soltero,1,19283.26675,17673.01781,3,0,91868.36501,3.0,87.0,458.0
3451,60000,0.3,80,18,04/01/2023,41,casado,1,10303.10697,6954.408374,2,1,21875.74615,0.0,114.0,745.0
5481,34000,0.1,60,18,17/03/2023,44,soltero,0,17715.42753,12987.96314,3,0,105979.9694,2.0,57.0,613.0
154,50000,0.4,80,6,23/11/2022,30,casado,0,36347.50473,26418.11181,1,0,,,,
4656,45000,0.3,120,18,27/12/2022,52,casado,0,18326.85802,7041.43516,0,1,,,,
5377,45000,0.3,60,12,03/06/2023,55,union libre,0,42921.95346,23781.3467,0,1,42158.03751,0.0,46.0,434.0
1329,60000,0.1,60,18,19/01/2023,48,soltero,0,26478.93274,15000.82066,0,0,,,,
2989,45000,0.3,120,12,08/04/2023,57,union libre,0,36178.58103,18180.74571,2,0,,,,
218,15000,0.1,80,12,21/05/2023,42,divorciado,0,12930.76523,7682.308729,1,0,,,,
4646,22000,0.4,120,18,21/01/2023,35,casado,0,77217.99167,41172.53444,0,0,31439.94562,0.0,56.0,582.0
1523,34000,0.2,120,12,06/11/2022,26,union libre,1,32143.42501,12516.43656,0,1,,,,
4695,34000,0.1,120,24,25/07/2022,32,soltero,1,28224.75451,12090.11517,2,0,95090.79083,2.0,33.0,585.0
4773,22000,0.3,60,6,27/08/2022,51,casado,0,39281.71853,25545.0878,2,0,16492.8695,0.0,54.0,510.0
4013,34000,0.4,80,24,18/03/2023,38,divorciado,0,27872.22488,21380.09108,4,1,,,,
5191,15000,0.2,120,24,01/07/2023,52,soltero,0,44752.9887,30042.51893,0,0,13854.36372,2.0,8.0,537.0
4483,22000,0.4,120,18,17/08/2022,54,divorciado,0,17408.66111,13026.26091,0,0,,,,
1711,60000,0.2,60,24,23/05/2023,59,soltero,1,29700.97912,24066.72588,2,0,95190.08968,2.0,29.0,606.0
1172,15000,0.2,80,12,05/08/2022,29,soltero,1,18328.00596,12859.8039,0,0,72438.65761,1.0,23.0,625.0
2448,50000,0.2,60,18,27/02/2023,48,soltero,0,16595.96313,9085.611414,0,1,83963.34955,2.0,27.0,354.0
5750,60000,0.3,80,18,20/11/2022,28,casado,0,28584.78904,18774.48624,0,0,,,,
2271,50000,0.1,120,6,07/03/2023,37,viudo,0,10383.72648,6099.469276,1,0,,,,
4517,22000,0.4,80,18,13/07/2022,19,divorciado,1,5000.0,3630.302397,4,1,,,,
759,34000,0.4,60,24,25/02/2023,52,casado,0,16509.94489,9049.984069,1,0,80380.91867,1.0,19.0,503.0
4941,60000,0.3,60,6,11/10/2022,20,casado,0,5647.108292,2498.553908,2,0,,,,
4627,60000,0.1,120,18,07/06/2023,43,soltero,0,54831.39303,22846.86657,1,0,,,,
247,50000,0.4,60,12,28/02/2023,18,casado,0,36844.30622,12004.19506,0,1,82595.57602,3.0,3.0,610.0
3300,34000,0.4,120,6,05/11/2022,56,casado,0,30786.64221,14866.61926,1,0,60295.28791,0.0,20.0,750.0
1696,15000,0.1,80,24,18/08/2022,70,soltero,1,5000.0,5000.0,3,0,26458.20478,1.0,45.0,484.0
1272,22000,0.1,120,24,22/03/2023,37,casado,0,30604.93572,21793.68166,2,0,7564.913022,0.0,25.0,521.0
609,50000,0.2,120,24,28/03/2023,45,casado,0,20333.98042,12487.41007,0,0,69520.74528,1.0,16.0,576.0
3754,50000,0.1,60,18,07/08/2022,58,casado,0,28458.2625,12927.03007,0,1,,,,
4145,45000,0.2,80,18,06/07/2022,25,divorciado,0,26472.19961,14675.37313,0,0,84645.31963,0.0,15.0,576.0
5788,34000,0.3,120,12,08/01/2023,35,casado,0,35983.54066,16034.49339,1,0,,,,
5239,60000,0.2,120,18,07/04/2023,48,soltero,1,58687.42435,41437.08015,2,0,,,,
3468,45000,0.3,120,12,01/05/2023,18,divorciado,0,33412.39152,18663.25992,1,0,,,,
5279,15000,0.3,80,18,12/11/2022,50,divorciado,1,47949.72152,17580.53478,0,1,35977.6175,0.0,1.0,742.0
3775,15000,0.2,80,18,15/08/2022,29,soltero,0,12749.90059,5132.834673,2,0,86273.91814,2.0,7.0,750.0
3304,50000,0.4,120,6,20/10/2022,29,casado,1,5000.0,5000.0,0,0,54002.11757,0.0,96.0,580.0
678,60000,0.2,60,6,04/06/2023,33,casado,0,7768.704952,5952.522812,3,0,14709.8098,3.0,77.0,553.0
2295,15000,0.4,120,24,01/08/2022,40,soltero,0,5000.0,5000.0,0,0,,,,
3698,22000,0.4,80,18,09/07/2022,30,divorciado,0,49061.0089,28492.49015,1,0,82752.77655,2.0,39.0,520.0
2750,15000,0.1,120,12,14/06/2023,33,soltero,0,31223.9052,20961.32954,3,0,12185.53768,0.0,4.0,666.0
4884,34000,0.3,60,6,29/01/2023,60,casado,1,15659.76318,10277.48656,0,1,102356.5299,4.0,20.0,516.0
2761,45000,0.3,60,24,26/09/2022,48,casado,1,34089.05146,20509.53117,3,1,61317.83396,0.0,35.0,510.0
4159,34000,0.4,60,18,26/02/2023,46,divorciado,0,10815.46615,6771.217996,2,1,91664.62777,5.0,28.0,647.0
3535,34000,0.2,120,6,06/05/2023,34,soltero,0,5000.0,5000.0,0,0,97925.08365,1.0,38.0,671.0
2491,34000,0.4,120,18,29/12/2022,85,union libre,0,5000.0,5000.0,4,1,80206.07432,1.0,59.0,407.0
3645,60000,0.2,120,24,12/04/2023,39,soltero,1,19576.50856,11675.81912,3,0,,,,
4685,60000,0.2,120,12,02/06/2023,44,union libre,0,5000.0,3451.015533,0,1,96078.10393,1.0,34.0,685.0
2113,50000,0.4,60,6,20/01/2023,45,soltero,0,17751.41038,10047.69233,1,1,,,,
108,45000,0.4,80,12,02/04/2023,42,divorciado,0,21063.22614,18837.50927,4,1,51889.39107,1.0,96.0,666.0
1181,15000,0.4,120,12,26/07/2022,44,casado,0,9058.51545,6037.626086,2,1,,,,
2660,60000,0.2,80,12,23/12/2022,24,divorciado,0,5764.885463,3343.350889,0,0,81222.12321,1.0,41.0,458.0
1515,50000,0.1,80,12,02/02/2023,55,union libre,0,35539.1098,25093.45408,2,0,86409.67499,3.0,37.0,414.0
4363,22000,0.4,120,12,12/01/2023,41,union libre,1,9904.070148,5455.363581,1,0,17368.65192,3.0,43.0,633.0
5147,50000,0.4,60,24,14/06/2023,60,divorciado,0,16541.28131,11162.12954,2,0,17346.54169,2.0,71.0,624.0
2715,60000,0.1,80,18,13/08/2022,45,casado,1,12525.77529,12525.77529,2,1,69199.47242,3.0,39.0,534.0
2949,60000,0.2,120,24,11/11/2022,30,divorciado,1,9204.237569,6452.313144,1,0,,,,
4383,34000,0.2,60,18,13/12/2022,50,soltero,0,39476.4088,13341.16387,2,0,31085.75788,1.0,32.0,564.0
2318,34000,0.3,60,12,04/06/2023,51,casado,0,12883.6296,10166.61673,2,0,69508.6423,4.0,45.0,656.0
5539,60000,0.3,60,18,18/02/2023,35,divorciado,0,33316.81109,16899.83676,0,0,64016.15578,1.0,13.0,380.0
3436,60000,0.4,60,18,22/03/2023,37,divorciado,1,7348.920802,7104.33849,1,0,90799.53216,4.0,10.0,356.0
4162,60000,0.3,120,6,03/05/2023,26,union libre,1,46923.6578,34269.48462,0,0,,,,
1662,34000,0.2,60,18,19/03/2023,29,union libre,1,25151.01555,8946.553425,1,0,98487.95128,3.0,40.0,493.0
2159,50000,0.3,120,12,28/03/2023,72,divorciado,0,5000.0,3075.413634,1,0,21338.07662,2.0,61.0,750.0
1491,45000,0.4,80,24,17/07/2022,62,divorciado,0,20868.68631,11607.39496,1,0,71335.78907,2.0,27.0,750.0
5545,50000,0.3,80,18,11/08/2022,56,casado,1,25141.19957,14854.99923,2,1,70722.84277,0.0,48.0,343.0
4869,22000,0.1,80,6,10/02/2023,55,union libre,1,42148.29094,19425.059,0,0,,,,
2402,45000,0.2,80,6,09/11/2022,35,divorciado,0,32947.59816,24441.99016,1,1,76621.65349,1.0,37.0,630.0
5514,45000,0.1,120,18,04/07/2022,35,union libre,1,5000.0,2980.138639,1,0,63659.23264,1.0,116.0,665.0
3733,45000,0.2,120,6,17/02/2023,35,union libre,1,43233.99301,20445.09241,0,0,,,,
1798,60000,0.1,80,6,31/05/2023,55,divorciado,1,50489.31177,33935.55701,0,0,78747.35212,0.0,28.0,563.0
4071,60000,0.3,60,18,31/10/2022,47,casado,0,27481.29174,8952.49623,0,0,87290.92681,1.0,16.0,483.0
959,15000,0.2,80,18,18/04/2023,19,casado,0,26183.12305,15793.25465,0,0,71501.77522,0.0,1.0,617.0
5386,60000,0.1,60,6,28/02/2023,30,divorciado,0,35126.13553,18544.96217,0,0,71667.4678,2.0,15.0,530.0
2923,60000,0.1,120,6,22/01/2023,49,soltero,0,13411.94236,12503.61609,1,0,65253.25943,2.0,117.0,532.0
5098,34000,0.1,60,18,07/10/2022,27,soltero,0,41698.12079,23433.10267,1,0,36224.64833,2.0,75.0,548.0
1250,34000,0.1,60,12,05/02/2023,63,soltero,0,36625.27805,17088.81635,4,0,,,,
2749,34000,0.3,60,24,16/02/2023,43,soltero,1,17739.21156,13477.78099,2,0,69846.99944,4.0,62.0,650.0
510,22000,0.3,60,12,14/03/2023,49,soltero,0,23840.3617,10604.48443,1,1,70297.49079,2.0,13.0,553.0
2941,15000,0.4,60,12,14/11/2022,36,divorciado,0,51247.72586,40949.91339,2,0,,,,
4394,60000,0.1,60,24,08/11/2022,46,union libre,0,44779.84369,19098.7199,4,0,18375.55912,0.0,1.0,724.0
4980,22000,0.1,120,18,20/01/2023,24,soltero,1,28652.75655,12362.66436,0,0,,,,
368,60000,0.4,120,18,02/07/2022,58,divorciado,1,26716.47855,15460.75497,0,0,,,,
461,60000,0.1,80,18,19/01/2023,32,casado,1,23215.08551,7150.153726,2,0,67098.68015,2.0,39.0,546.0
2116,45000,0.2,80,12,08/08/2022,70,casado,0,62990.60838,35754.76653,0,0,,,,
1709,15000,0.1,120,6,30/07/2022,38,casado,0,44694.70296,21279.03142,0,0,61518.27479,0.0,10.0,542.0
1651,60000,0.4,60,12,22/01/2023,38,divorciado,0,52752.57144,37089.65143,1,0,61022.29579,4.0,73.0,626.0
539,15000,0.1,80,12,13/02/2023,82,casado,0,26662.86734,17477.88368,2,1,22902.51521,1.0,60.0,577.0
294,15000,0.2,120,24,02/03/2023,41,divorciado,0,5000.0,5000.0,3,0,43745.81582,2.0,42.0,660.0
5888,15000,0.3,80,6,20/03/2023,34,casado,0,14114.00462,5304.95779,0,1,,,,
960,50000,0.2,60,6,30/11/2022,49,union libre,0,32974.91262,27371.45814,0,0,,,,
1337,34000,0.3,60,6,17/11/2022,34,soltero,1,38831.45053,21765.23989,0,0,91003.02919,4.0,42.0,688.0
2800,15000,0.3,80,24,15/07/2022,41,soltero,0,37044.78119,21103.01037,1,0,,,,
727,15000,0.4,60,6,15/01/2023,37,casado,0,24455.04809,18809.33428,0,1,89972.44664,1.0,1.0,708.0
2158,34000,0.1,80,12,09/07/2022,52,divorciado,0,26382.18221,12548.58308,1,0,,,,
1690,45000,0.1,120,12,16/11/2022,68,divorciado,0,10844.5635,8209.805571,2,1,,,,
3666,45000,0.1,80,18,07/05/2023,48,union libre,0,24902.06567,13061.18399,1,0,38679.55881,2.0,2.0,482.0
1281,60000,0.1,60,6,29/01/2023,53,divorciado,0,25724.68711,12467.72145,1,1,,,,
4304,60000,0.4,60,6,03/01/2023,40,divorciado,0,26664.08836,10443.13343,4,0,90844.73998,0.0,15.0,567.0
1337,34000,0.3,60,6,17/11/2022,34,soltero,1,38831.45053,21765.23989,0,0,91003.02919,4.0,42.0,688.0
4267,50000,0.2,120,6,28/09/2022,63,casado,1,32830.8579,25463.41821,0,1,59636.98652,1.0,120.0,406.0
4684,60000,0.4,80,12,27/03/2023,60,union libre,1,39545.04939,22727.16462,2,0,7634.838917,4.0,23.0,502.0
4012,50000,0.2,120,6,17/11/2022,64,divorciado,1,35017.09054,21098.37375,1,0,33291.15663,2.0,31.0,644.0
2728,60000,0.2,60,6,15/01/2023,45,divorciado,1,26745.39248,21574.58105,0,0,,,,
