precio,enganche_porcentaje,tasa_interes_anual,plazo_meses,fecha_solicitud,edad,estado_civil,vivienda_no_propia,ingresos_mensuales,gastos_mensuales,dependientes_economicos,escolaridad_licenciatura,credito_max_otorgado,creditos_activos,atraso_max_otras_instituciones,score_crediticio
34000,0.2,60,24,24/02/2023,50,casado,1,35303.42835,27600.46706,2,1,,,,
50000,0.1,80,12,21/07/2022,18,divorciado,0,34636.28991,25473.31962,2,1,,,,
45000,0.2,60,12,24/10/2022,27,union libre,1,5000,5000,4,0,83875.78601,2,64,389
50000,0.2,80,6,07/05/2023,48,divorciado,0,10289.23908,7296.243518,0,1,54934.96079,1,20,519
15000,0.2,60,12,08/01/2023,54,soltero,0,18627.79815,17882.98342,0,0,109149.0066,4,133,567
22000,0.3,80,24,16/03/2023,39,divorciado,1,22534.563,13470.82605,3,0,21072.08839,3,11,456
60000,0.1,120,24,24/07/2022,23,union libre,0,15748.7524,8503.569124,2,0,73360.04754,0,0,683
50000,0.3,80,12,11/11/2022,41,divorciado,1,26131.09763,10858.59106,4,1,12232.65339,0,69,716
45000,0.4,80,18,30/04/2023,47,union libre,0,5000,3860.034599,1,1,,,,
60000,0.2,80,18,30/06/2023,20,casado,0,27020.39053,14732.6669,1,0,73572.15841,0,23,554
50000,0.2,80,6,10/12/2022,31,union libre,1,16889.95102,12372.56228,1,0,77138.01225,1,7,676
60000,0.3,120,24,30/03/2023,47,union libre,0,52241.71628,36651.07348,0,0,,,,
45000,0.3,60,18,17/05/2023,57,casado,0,67762.75437,37131.6035,1,0,,,,
60000,0.1,60,18,11/03/2023,47,divorciado,0,10606.64443,8491.426574,0,0,27383.1086,2,78,465
34000,0.1,60,12,24/11/2022,49,casado,0,42729.29492,29178.41208,1,0,,,,
45000,0.1,60,24,27/07/2022,23,divorciado,1,37593.25441,23469.51203,3,0,,,,
15000,0.1,120,24,18/05/2023,47,viudo,1,43480.87865,17834.23575,1,1,,,,
60000,0.3,60,18,14/09/2022,30,casado,0,41865.69114,19844.41649,0,0,83267.47163,0,59,642
45000,0.4,60,12,30/05/2023,43,soltero,0,5000,1910.161375,4,0,,,,
15000,0.2,60,24,07/05/2023,51,soltero,1,38848.57983,12810.46746,0,1,,,,
22000,0.2,60,18,16/06/2023,55,casado,0,35389.12382,12041.59938,1,0,,,,
22000,0.3,80,18,22/04/2023,29,casado,0,26564.33944,18058.77843,3,0,34753.43805,0,23,559
50000,0.3,120,12,01/07/2022,47,soltero,0,28828.47486,9131.219784,0,1,,,,
15000,0.4,80,6,21/05/2023,36,soltero,1,33867.77735,16931.39328,3,0,,,,
50000,0.2,80,18,31/05/2023,38,union libre,1,26189.92516,20765.73411,1,0,61602.3439,0,3,506
60000,0.2,120,6,13/01/2023,37,soltero,0,24676.31044,17214.67804,1,0,,,,
15000,0.2,60,12,27/05/2023,37,union libre,1,5000,5000,3,1,23788.82376,2,28,713
15000,0.4,120,6,01/07/2023,39,union libre,0,37652.53106,16467.49953,2,0,90031.25757,2,48,587
34000,0.4,120,12,04/04/2023,39,divorciado,0,27576.40324,17121.22657,2,0,18326.40658,1,52,580
22000,0.3,80,24,28/03/2023,42,casado,0,18106.41713,9946.86751,1,0,,,,
22000,0.3,80,12,09/08/2022,41,casado,0,31466.59013,19254.79041,0,0,,,,
45000,0.3,80,24,13/04/2023,49,soltero,0,30642.42181,15869.95722,1,0,,,,
15000,0.3,120,6,23/06/2023,51,soltero,1,37587.29594,21254.92125,0,0,,,,
45000,0.4,120,6,02/05/2023,27,divorciado,0,29551.78042,23469.96858,0,0,44180.33978,0,31,690
34000,0.3,60,12,15/02/2023,60,divorciado,0,26348.34627,14616.92845,0,1,,,,
45000,0.4,120,24,29/11/2022,39,soltero,0,10430.59874,6447.045634,0,0,36293.64657,0,84,536
50000,0.3,120,12,02/03/2023,58,divorciado,0,18560.88781,13668.49386,0,0,,,,
34000,0.1,60,12,02/06/2023,47,casado,0,34163.41268,19205.3128,0,0,91999.53241,0,9,587
60000,0.1,120,12,07/02/2023,18,divorciado,0,35807.19985,12275.22438,2,0,93579.24195,2,10,715
60000,0.4,60,12,13/06/2023,41,casado,0,48174.25468,33865.82714,0,0,56910.81763,4,19,502
45000,0.3,120,6,01/05/2023,34,divorciado,0,45715.8227,23361.99202,1,1,78016.00639,2,1,546
45000,0.2,60,6,17/07/2022,41,soltero,0,22136.97239,13781.44448,1,1,13777.68179,1,75,686
15000,0.1,120,6,11/06/2023,56,divorciado,0,8847.844363,5569.009512,3,0,,,,
50000,0.1,60,12,16/09/2022,32,union libre,0,40260.30946,27643.62091,2,0,74584.5831,4,50,450
45000,0.4,80,12,02/04/2023,42,divorciado,0,21063.22614,18837.50927,4,1,51889.39107,1,96,666
45000,0.1,60,6,05/09/2022,54,soltero,0,25517.35891,13141.08989,2,0,105880.8087,1,55,405
50000,0.4,120,18,05/03/2023,60,casado,0,28115.00325,18150.15056,0,0,,,,
15000,0.1,60,12,25/03/2023,50,divorciado,1,7057.291169,4561.907619,1,1,,,,
22000,0.1,80,6,25/05/2023,53,union libre,0,6074.634352,4497.826412,2,1,7017.195163,1,11,491
22000,0.1,120,12,08/09/2022,46,casado,0,16884.60739,9695.928714,1,0,22468.7823,1,5,671
45000,0.1,80,24,17/07/2022,18,soltero,0,5000,3631.100239,1,0,72792.63063,3,57,739
50000,0.4,60,18,22/08/2022,33,soltero,0,36657.54069,29055.23031,2,0,,,,
22000,0.1,80,12,04/02/2023,33,union libre,0,29009.61834,16683.52841,0,0,59954.11256,1,50,644
50000,0.1,80,6,09/07/2022,57,soltero,0,35170.53533,15467.89196,4,1,13378.96814,1,54,541
22000,0.1,120,24,21/05/2023,18,casado,0,41303.40232,19851.8137,1,0,46995.13045,1,4,729
22000,0.3,60,18,11/03/2023,70,union libre,0,22652.8879,7205.762417,2,0,79711.3571,2,61,570
60000,0.2,80,6,08/12/2022,46,union libre,0,17632.28148,12777.24112,4,0,68038.02479,3,48,442
15000,0.2,60,24,30/06/2023,41,casado,0,18183.76071,5617.754147,2,0,59380.67078,0,24,582
60000,0.1,60,12,13/09/2022,54,casado,0,58726.28061,35006.29514,1,0,,,,
60000,0.3,120,6,17/05/2023,80,casado,0,15984.96685,9788.758583,3,1,,,,
15000,0.4,60,6,21/03/2023,60,soltero,0,7493.128054,3429.254353,1,1,,,,
60000,0.1,80,18,20/09/2022,51,casado,0,34371.71724,14713.68046,1,0,,,,
60000,0.3,80,6,02/05/2023,41,soltero,1,6202.544204,3572.207072,3,0,34240.54927,0,8,702
60000,0.2,120,18,13/07/2022,38,casado,0,24041.88679,8115.193579,0,1,39805.93547,0,22,569
45000,0.2,80,24,08/02/2023,47,divorciado,0,5000,4146.219707,1,1,60076.96481,0,126,619
34000,0.4,120,6,12/12/2022,30,casado,0,14004.94344,8907.089554,1,0,,,,
34000,0.2,60,24,11/11/2022,31,union libre,0,26067.83879,20459.31851,2,0,61144.24894,1,29,620
22000,0.1,60,18,27/08/2022,30,soltero,0,12308.60371,10565.60384,0,1,,,,
34000,0.1,120,6,30/07/2022,49,casado,1,5000,5000,2,0,90828.56318,0,65,554
45000,0.3,60,6,08/02/2023,19,divorciado,0,24516.10314,17079.93768,1,1,31024.44468,2,19,750
60000,0.4,80,18,31/08/2022,42,soltero,0,31199.68878,15032.65092,0,0,11299.09195,1,3,474
22000,0.2,60,18,11/09/2022,39,casado,0,36773.87318,21801.61533,4,0,89984.13505,3,20,750
60000,0.3,60,18,07/02/2023,41,soltero,0,25907.36989,12997.13381,0,0,11467.30481,0,6,734
45000,0.1,60,18,14/08/2022,33,casado,1,34950.47331,16375.02654,1,0,93091.63494,0,20,571
60000,0.2,120,18,27/09/2022,72,divorciado,0,24716.19994,16407.10149,0,0,52261.91033,4,0,663
50000,0.1,80,12,12/12/2022,56,divorciado,0,49222.11079,22068.00844,2,0,10346.94925,1,13,633
60000,0.1,60,24,09/06/2023,25,soltero,0,38160.2701,18709.06973,2,1,16955.15557,4,1,482
60000,0.1,60,24,24/04/2023,51,union libre,1,12105.45285,7360.024927,3,1,74845.58769,1,36,594
45000,0.1,80,24,31/08/2022,32,union libre,0,22570.10372,16593.57893,1,0,6499.784876,2,35,592
22000,0.4,80,24,27/05/2023,27,union libre,1,35884.24583,13822.69169,1,0,91937.43236,2,112,540
50000,0.4,120,6,20/04/2023,35,divorciado,0,5000,5000,2,0,88879.18925,4,69,584
50000,0.4,80,12,12/06/2023,53,union libre,1,5000,5000,2,0,70237.41922,0,29,494
34000,0.1,120,12,11/05/2023,31,divorciado,0,34435.8344,10594.26066,2,0,92993.32067,0,14,541
50000,0.2,120,12,17/02/2023,51,divorciado,0,24250.40889,18768.20377,2,0,29676.2215,1,8,466
60000,0.1,60,6,07/07/2022,59,divorciado,0,30017.94882,25302.95804,0,0,,,,
22000,0.4,80,18,09/11/2022,70,divorciado,1,16250.60116,12487.32214,0,1,,,,
60000,0.3,120,12,21/12/2022,29,union libre,0,39688.40947,24865.2902,2,0,,,,
34000,0.3,120,18,10/03/2023,59,soltero,1,60042.52377,49563.82889,1,1,,,,
15000,0.4,120,24,18/06/2023,56,casado,0,38335.19611,25583.58626,1,1,,,,
45000,0.3,80,24,09/04/2023,34,soltero,0,24739.50378,8620.463905,1,0,95935.78985,2,5,610
50000,0.4,80,6,23/11/2022,30,casado,0,36347.50473,26418.11181,1,0,,,,
50000,0.4,60,18,18/05/2023,69,soltero,0,12148.154,7608.293437,1,1,32483.73192,0,69,636
45000,0.4,60,6,07/02/2023,42,casado,0,34025.99311,14584.75972,1,0,66169.75089,1,16,546
50000,0.4,120,12,29/09/2022,47,divorciado,1,6486.222482,4778.774205,2,0,69450.45383,3,67,612
34000,0.4,80,18,25/12/2022,38,casado,0,26939.21015,13518.37542,0,0,,,,
34000,0.4,80,6,26/12/2022,25,soltero,0,5000,3362.714827,2,1,81597.83631,2,6,663
45000,0.2,60,24,12/11/2022,33,divorciado,0,29743.06664,15580.51402,2,0,93205.86585,0,19,559
15000,0.4,120,12,26/03/2023,38,union libre,0,5000,3399.372364,1,0,12567.97715,3,38,388
50000,0.4,80,6,10/11/2022,27,divorciado,0,19447.82747,8093.721429,1,0,,,,
50000,0.2,60,6,24/06/2023,39,union libre,0,33144.71069,16896.60218,0,0,31715.16936,2,11,750
45000,0.3,60,24,01/02/2023,25,divorciado,0,36894.3666,19962.49051,0,1,,,,
15000,0.4,60,12,15/08/2022,26,casado,0,45329.86925,19243.52771,0,0,9265.480167,1,32,640
22000,0.4,60,12,16/10/2022,48,divorciado,0,27104.52724,12392.5946,0,1,52253.65415,0,21,580
60000,0.4,60,18,16/01/2023,53,casado,0,38147.74736,22203.03661,2,0,,,,
34000,0.2,80,6,24/08/2022,42,soltero,0,21716.74408,19160.87509,4,0,26046.54233,2,50,506
15000,0.3,80,12,25/03/2023,27,casado,0,19317.15295,10945.39183,0,0,,,,
34000,0.1,80,12,20/03/2023,27,divorciado,0,35599.57631,18904.30396,0,0,31072.93238,2,50,488
45000,0.4,60,12,23/08/2022,41,union libre,1,6451.511364,6451.511364,3,1,14619.80044,0,19,562
34000,0.3,60,18,24/09/2022,47,divorciado,0,28002.12256,22347.52761,2,1,,,,
34000,0.3,60,12,15/11/2022,56,divorciado,0,5000,4617.972762,1,0,,,,
60000,0.4,80,24,11/09/2022,34,casado,0,6749.374446,4398.859714,4,0,,,,
45000,0.2,80,24,15/01/2023,38,divorciado,0,22659.52523,14783.11845,1,1,79197.07211,1,37,419
15000,0.2,80,6,06/03/2023,43,divorciado,0,32159.95347,17230.30145,2,1,18655.15461,0,7,478
45000,0.3,80,24,31/01/2023,30,casado,1,47257.67356,18526.55311,2,0,24635.97019,2,65,442
45000,0.2,60,6,22/11/2022,33,union libre,0,5000,3212.973639,0,0,,,,
22000,0.3,120,12,21/11/2022,64,soltero,1,10326.56838,7918.693651,1,0,,,,
15000,0.4,60,12,27/09/2022,49,divorciado,0,46919.98485,31630.83485,0,1,,,,
45000,0.1,60,24,25/11/2022,55,union libre,1,25749.5514,13475.26948,1,0,53541.1219,0,48,498
50000,0.4,60,18,04/06/2023,24,casado,0,40865.58807,20504.37069,0,0,51049.02709,0,31,750
22000,0.4,60,12,16/07/2022,42,divorciado,0,51776.20383,27730.92937,1,0,92609.53291,0,36,590
50000,0.2,60,6,08/02/2023,57,union libre,1,10030.38888,5017.273692,1,0,,,,
15000,0.3,120,12,11/01/2023,35,union libre,0,17036.96184,5703.898962,0,0,,,,
22000,0.1,80,12,13/08/2022,56,casado,0,42839.17449,19643.21155,0,0,,,,
45000,0.3,120,12,22/07/2022,55,soltero,0,39506.45328,22615.31399,2,0,90274.77405,1,35,671
50000,0.3,80,12,28/03/2023,59,soltero,0,28121.8858,17613.84717,1,0,78794.63198,1,50,548
60000,0.2,120,6,01/08/2022,56,soltero,1,10552.48306,8275.579243,3,1,73720.59853,1,37,492
22000,0.3,120,24,06/12/2022,59,casado,0,8077.472187,6824.730909,3,1,,,,
50000,0.1,60,12,13/12/2022,56,soltero,0,53676.99626,30681.5825,0,0,,,,
60000,0.3,80,12,21/05/2023,45,casado,0,60396.84197,33577.95107,1,1,36421.77073,1,16,623
50000,0.1,60,18,28/04/2023,33,casado,0,46756.55687,16138.69318,2,0,93297.98617,1,22,750
22000,0.2,120,18,10/09/2022,34,casado,0,39793.68393,19996.34672,1,0,91471.43112,2,39,750
45000,0.2,60,12,31/03/2023,42,casado,1,38848.21549,15623.42023,3,0,45085.72237,3,1,614
22000,0.1,120,18,15/05/2023,24,divorciado,1,34965.12352,19820.60919,1,0,35925.53038,1,5,630
22000,0.4,80,18,16/06/2023,38,soltero,0,5000,3395.190631,2,0,89036.14813,0,28,603
34000,0.3,120,18,22/11/2022,53,casado,0,22863.07544,13483.34212,2,0,47391.93801,0,17,694
22000,0.3,80,18,10/03/2023,18,divorciado,0,42296.78903,17380.21274,0,0,,,,
60000,0.1,80,18,25/04/2023,58,divorciado,0,17295.41849,6985.246688,1,0,,,,
34000,0.1,120,24,11/04/2023,61,casado,0,19461.39949,10157.43754,0,1,71078.03804,2,89,514
45000,0.1,120,18,21/01/2023,46,casado,0,35336.33836,20596.27107,0,0,,,,
15000,0.4,60,18,02/08/2022,46,soltero,0,47594.83166,24579.43547,0,0,45336.25034,4,15,532
50000,0.2,80,24,11/11/2022,40,divorciado,0,44057.58409,18425.68231,1,0,,,,
60000,0.1,120,24,16/04/2023,68,soltero,0,20674.32565,16155.56191,3,1,54890.31006,0,88,573
22000,0.3,80,18,21/08/2022,62,casado,0,28871.79718,18788.82191,0,0,25541.58639,0,189,603
60000,0.1,120,24,07/02/2023,23,soltero,1,26379.06935,16742.81375,2,0,90389.54512,3,114,395
45000,0.2,120,24,05/12/2022,58,soltero,1,42917.2713,30210.21744,0,0,25764.17796,1,21,462
50000,0.2,120,18,04/03/2023,42,divorciado,0,5000,4077.851141,0,1,13014.36972,2,120,626
15000,0.1,80,24,01/07/2022,40,casado,0,31019.16143,23389.47384,4,1,63342.66348,0,15,565
50000,0.2,60,12,08/07/2022,31,soltero,0,22932.62475,7061.988455,0,1,,,,
45000,0.3,80,18,01/11/2022,60,union libre,0,40236.15815,13439.62745,0,1,33127.24768,4,53,580
15000,0.1,80,24,11/02/2023,62,soltero,0,13061.6132,10121.64489,0,1,69951.48246,1,82,439
34000,0.2,120,24,23/08/2022,31,divorciado,0,66271.90983,31595.99186,0,1,80251.12591,1,19,588
34000,0.3,120,24,10/08/2022,31,divorciado,0,35677.82916,30085.83749,1,1,,,,
15000,0.2,80,6,20/06/2023,35,divorciado,0,15021.07832,6131.699722,0,1,,,,
45000,0.4,60,18,10/01/2023,45,union libre,0,5000,1958.547595,1,0,48053.69092,1,15,576
15000,0.1,80,12,21/05/2023,42,divorciado,0,12930.76523,7682.308729,1,0,,,,
22000,0.1,120,18,27/11/2022,55,casado,0,38422.08353,16894.67576,2,0,47971.36643,1,41,426
15000,0.3,60,12,28/03/2023,49,soltero,0,26050.90582,12250.34709,3,0,54034.17835,1,3,553
50000,0.2,60,6,15/01/2023,51,casado,0,21394.22235,16270.5663,0,0,,,,
60000,0.2,80,12,07/03/2023,57,divorciado,1,9524.161965,5543.218303,1,1,75855.6311,1,30,494
60000,0.3,60,18,21/08/2022,23,union libre,0,42447.39549,24009.508,1,0,,,,
60000,0.2,60,18,26/10/2022,51,divorciado,1,19875.24562,11431.67788,0,1,70438.58942,3,72,654
22000,0.1,120,18,26/12/2022,66,casado,0,8602.03965,7956.730243,3,0,,,,
50000,0.4,60,12,04/09/2022,39,casado,0,44917.47602,19040.71594,2,0,34418.40725,1,4,609
22000,0.3,60,12,20/07/2022,46,casado,0,53430.18565,19631.58828,0,0,84624.26136,1,8,597
45000,0.3,60,6,12/07/2022,36,divorciado,0,13291.94818,4216.748684,0,0,69803.7782,0,24,750
22000,0.1,60,6,17/03/2023,27,viudo,1,47672.11614,37844.40228,1,0,32253.48286,3,7,428
45000,0.3,120,12,11/03/2023,38,soltero,0,28342.89744,17861.21249,3,0,5445.421387,2,15,609
45000,0.2,60,12,26/10/2022,43,union libre,0,43772.85168,30142.10181,2,0,55462.22636,1,13,643
45000,0.4,80,18,22/12/2022,32,divorciado,0,39833.69149,13244.74822,1,0,,,,
50000,0.4,60,6,16/03/2023,37,union libre,1,30300.46196,9314.928831,0,0,7689.659631,0,79,364
60000,0.2,120,24,15/09/2022,34,soltero,0,12696.38789,9339.665378,1,0,,,,
15000,0.3,60,18,25/06/2023,53,union libre,0,40024.06828,26492.55895,3,1,68958.76546,0,2,610
45000,0.3,80,18,25/11/2022,50,casado,1,5000,4867.165666,1,0,60984.02082,1,28,617
45000,0.2,60,18,19/09/2022,68,divorciado,0,5000,3716.387772,0,1,,,,
45000,0.2,120,12,21/01/2023,58,casado,1,61213.70797,30131.82096,0,1,,,,
60000,0.3,80,18,05/09/2022,52,union libre,0,34094.44467,15815.39631,1,1,99045.18147,3,88,621
22000,0.2,80,18,02/08/2022,27,casado,1,44886.69975,30386.35463,0,0,49287.98834,0,48,694
15000,0.2,60,12,23/10/2022,18,casado,0,27657.71406,11273.18375,2,1,31180.80752,0,13,674
22000,0.3,120,12,15/11/2022,22,soltero,0,5417.029172,2503.779312,0,0,53181.7171,0,41,626
34000,0.2,60,12,03/12/2022,23,divorciado,0,22046.71118,14013.54813,3,1,76528.07334,4,115,678
50000,0.4,80,6,30/05/2023,65,divorciado,1,25525.91766,11825.11172,2,0,,,,
50000,0.3,80,12,20/12/2022,41,casado,0,47262.30071,32286.22899,1,0,,,,
34000,0.1,60,24,06/05/2023,44,union libre,0,36424.94109,27302.21895,2,0,,,,
50000,0.4,60,12,28/02/2023,18,casado,0,36844.30622,12004.19506,0,1,82595.57602,3,3,610
60000,0.1,60,6,16/09/2022,25,divorciado,0,27428.77527,16342.3908,0,0,,,,
22000,0.4,80,18,29/01/2023,50,casado,1,39746.00919,20041.10974,4,0,,,,
60000,0.2,120,24,25/10/2022,55,casado,1,5000,5000,1,0,,,,
50000,0.1,80,24,18/02/2023,38,union libre,0,31863.55773,20428.22055,0,0,93486.03065,1,43,750
60000,0.4,80,6,27/02/2023,46,divorciado,0,26559.11817,16099.05678,1,0,18392.7751,1,67,750
50000,0.1,60,18,02/04/2023,59,casado,0,51681.03863,32110.98819,0,0,77641.26838,1,15,622
15000,0.2,120,18,22/06/2023,46,soltero,1,5000,5000,0,1,,,,
22000,0.1,60,24,01/12/2022,40,casado,1,27724.63718,12294.7534,0,0,94897.15046,0,27,406
22000,0.4,120,6,01/11/2022,42,soltero,1,33738.40078,21543.11721,0,0,,,,
45000,0.4,60,24,08/03/2023,68,soltero,0,5000,3358.294236,2,0,,,,
15000,0.2,120,6,21/12/2022,18,soltero,0,41107.66052,15802.09228,3,0,68663.3866,0,11,587
34000,0.1,60,18,02/06/2023,59,casado,0,18238.99139,17705.66467,1,0,,,,
50000,0.4,60,6,20/08/2022,38,union libre,0,15690.7065,7374.483344,1,0,20310.56824,2,9,615
15000,0.1,120,24,25/08/2022,46,casado,0,45277.59077,29740.77173,0,0,,,,
22000,0.1,60,24,23/04/2023,43,casado,1,5000,5000,0,1,66601.92364,2,90,355
45000,0.1,60,24,19/03/2023,39,union libre,1,42128.29618,23255.47078,1,0,,,,
50000,0.3,80,18,19/01/2023,48,casado,1,32799.57155,11950.80771,3,0,,,,
34000,0.2,80,24,22/08/2022,72,soltero,1,23850.34643,10442.43215,0,0,30940.73712,0,29,625
22000,0.4,80,18,03/05/2023,49,casado,0,14859.75348,6198.352027,1,1,12086.1985,2,10,600
15000,0.1,60,24,30/05/2023,29,casado,1,19297.77837,10793.65588,4,0,52701.48923,3,13,478
45000,0.3,80,12,25/01/2023,34,casado,0,43196.83675,18602.04541,2,1,33702.70421,1,14,606
34000,0.4,80,12,01/09/2022,47,casado,1,29059.59209,18387.34114,0,0,,,,
22000,0.4,80,18,06/07/2022,18,casado,0,40423.50535,17952.21524,0,1,99859.62453,3,17,749
45000,0.1,120,12,21/10/2022,36,union libre,0,29562.31224,8883.166399,4,0,23796.77691,0,50,684
