credito_id,precio,enganche_porcentaje,tasa_interes_anual,plazo_meses,fecha_inicio,max_atraso_dias,supera_90_dias,credito_vigente,edad,estado_civil,estado_civil_binario,vivienda_no_propia,tipo_vivienda_binario,ingresos_mensuales,gastos_mensuales,dependientes_economicos,escolaridad_licenciatura,credito_max_otorgado,creditos_activos,atraso_max_otras_instituciones,score_crediticio
72,50000,0.3,80,12,11/11/2022,21,1,0,41,divorciado,1,1,1,26131.097633373633,10858.591061257057,4,1,12232.653393530005,0,69,716
73,45000,0.4,80,18,30/04/2023,27,1,1,47,union libre,1,0,0,5000,3860.034599172248,1,1,,,,
74,60000,0.2,80,18,30/06/2023,38,0,1,20,casado,1,0,0,27020.390530471446,14732.666900513821,1,0,73572.15841318555,0,23,554
75,50000,0.2,80,6,10/12/2022,123,0,0,31,union libre,0,1,1,16889.95101691414,12372.56227879765,1,0,77138.01224618583,1,7,676
76,60000,0.3,120,24,30/03/2023,37,0,1,47,union libre,1,0,1,52241.716277721294,36651.073483716595,0,0,,,,
77,45000,0.3,60,18,17/05/2023,24,0,1,57,casado,1,0,0,67762.75436602907,37131.60349713075,1,0,,,,
78,60000,0.1,60,18,11/03/2023,63,1,0,47,divorciado,1,0,0,10606.644432536872,8491.426573638772,0,0,27383.108595876416,2,78,465
79,34000,0.1,60,12,24/11/2022,49,0,0,49,casado,1,0,0,42729.29492,29178.41208458025,1,0,,,,
80,45000,0.1,60,24,27/07/2022,28,1,0,23,divorciado,1,1,1,37593.25441321026,23469.51203050268,3,0,,,,
81,15000,0.1,120,24,18/05/2023,43,0,1,47,viudo,0,1,1,43480.878646779565,17834.23574576988,1,1,,,,
82,60000,0.3,60,18,14/09/2022,45,0,0,30,casado,1,0,1,41865.69114,19844.41649004832,0,0,83267.47163092675,0,59,642
83,45000,0.4,60,12,30/05/2023,0,0,0,43,soltero,1,0,1,5000,1910.1613754810453,4,0,,,,
84,15000,0.2,60,24,07/05/2023,20,1,1,51,soltero,1,1,1,38848.579826526104,12810.467457740157,0,1,,,,
85,22000,0.2,60,18,16/06/2023,140,0,1,55,casado,0,0,1,35389.12382077511,12041.599376464243,1,0,,,,
86,22000,0.3,80,18,22/04/2023,54,0,1,29,casado,0,0,0,26564.339440366297,18058.778431921164,3,0,34753.43805342651,0,23,559
87,50000,0.3,120,12,01/07/2022,18,0,0,47,soltero,0,0,0,28828.47485560222,9131.219784386521,0,1,,,,
88,15000,0.4,80,6,21/05/2023,0,0,0,36,soltero,1,1,1,33867.77734703763,16931.393275602408,3,0,,,,
89,50000,0.2,80,18,31/05/2023,49,0,1,38,union libre,1,1,1,26189.925162526386,20765.734105347357,1,0,61602.343896910206,0,3,506
90,60000,0.2,120,6,13/01/2023,18,0,0,37,soltero,1,0,0,24676.31044,17214.678035859175,1,0,,,,
91,15000,0.2,60,12,27/05/2023,42,1,0,37,union libre,1,1,1,5000,5000,3,1,23788.82375530532,2,28,713
92,15000,0.4,120,6,01/07/2023,177,0,0,39,union libre,0,0,0,37652.531057447755,16467.499526165513,2,0,90031.25757277425,2,48,587
93,34000,0.4,120,12,04/04/2023,129,0,0,39,divorciado,1,0,0,27576.403242016502,17121.22657174056,2,0,18326.406578355076,1,52,580
94,22000,0.3,80,24,28/03/2023,20,0,1,42,casado,1,0,0,18106.41713039088,9946.867510137963,1,0,,,,
95,22000,0.3,80,12,09/08/2022,31,0,0,41,casado,0,0,0,31466.59013130555,19254.790414487452,0,0,,,,
96,45000,0.3,80,24,13/04/2023,39,0,1,49,soltero,1,0,0,30642.421805696362,15869.957215669054,1,0,,,,
97,15000,0.3,120,6,23/06/2023,139,0,0,51,soltero,1,1,1,37587.29593932737,21254.921246157774,0,0,,,,
98,45000,0.4,120,6,02/05/2023,121,0,0,27,divorciado,0,0,0,29551.78041797766,23469.968583854945,0,0,44180.33978446114,0,31,690
99,34000,0.3,60,12,15/02/2023,158,1,0,60,divorciado,1,0,1,26348.346268588342,14616.928447800143,0,1,,,,
100,45000,0.4,120,24,29/11/2022,34,1,1,39,soltero,1,0,0,10430.59874,6447.045633925913,0,0,36293.64657273021,0,84,536
101,50000,0.3,120,12,02/03/2023,32,1,0,58,divorciado,1,0,1,18560.88781287986,13668.493862904514,0,0,,,,
102,34000,0.1,60,12,02/06/2023,31,0,0,47,casado,0,0,0,34163.41268243843,19205.312795633483,0,0,91999.53241015115,0,9,587
103,60000,0.1,120,12,07/02/2023,37,0,0,18,divorciado,1,0,1,35807.19985153625,12275.224381677655,2,0,93579.24195,2,10,715
104,60000,0.4,60,12,13/06/2023,144,0,0,41,casado,1,0,1,48174.25468370507,33865.827137297136,0,0,56910.81763369934,4,19,502
105,45000,0.3,120,6,01/05/2023,0,0,0,34,divorciado,1,0,0,45715.82270049609,23361.992016403743,1,1,78016.00639423644,2,1,546
106,45000,0.2,60,6,17/07/2022,111,1,0,41,soltero,1,0,1,22136.972387033515,13781.444481711742,1,1,13777.681787050826,1,75,686
107,15000,0.1,120,6,11/06/2023,99,0,0,56,divorciado,0,0,1,8847.844363,5569.009511917777,3,0,,,,
108,50000,0.1,60,12,16/09/2022,144,0,0,32,union libre,1,0,0,40260.30946095774,27643.620913061273,2,0,74584.58310041523,4,50,450
109,45000,0.4,80,12,02/04/2023,15,1,0,42,divorciado,1,0,1,21063.226138894155,18837.50927255785,4,1,51889.39106727092,1,96,666
110,45000,0.1,60,6,05/09/2022,0,1,0,54,soltero,1,0,1,25517.358910017952,13141.08988523615,2,0,105880.8087155101,1,55,405
111,50000,0.4,120,18,05/03/2023,123,1,1,60,casado,1,0,1,28115.003250736103,18150.150557024645,0,0,,,,
112,15000,0.1,60,12,25/03/2023,38,1,0,50,divorciado,1,1,1,7057.291168898082,4561.907619,1,1,,,,
113,22000,0.1,80,6,25/05/2023,36,0,0,53,union libre,0,0,0,6074.634351678182,4497.826412162335,2,1,7017.195163439212,1,11,491
114,22000,0.1,120,12,08/09/2022,48,0,0,46,casado,0,0,0,16884.607392291273,9695.928714,1,0,22468.782303793087,1,5,671
115,45000,0.1,80,24,17/07/2022,8,0,0,18,soltero,1,0,1,5000,3631.100239263209,1,0,72792.63063443864,3,57,739
116,50000,0.4,60,18,22/08/2022,32,0,0,33,soltero,1,0,0,36657.54069060954,29055.230305175777,2,0,,,,
117,22000,0.1,80,12,04/02/2023,136,0,0,33,union libre,1,0,0,29009.61833682932,16683.528409739698,0,0,59954.11255829741,1,50,644
118,50000,0.1,80,6,09/07/2022,113,1,0,57,soltero,1,0,1,35170.535331016355,15467.891964940389,4,1,13378.968140967037,1,54,541
119,22000,0.1,120,24,21/05/2023,31,0,1,18,casado,1,0,1,41303.40231600021,19851.813704790024,1,0,46995.13045045467,1,4,729
120,22000,0.3,60,18,11/03/2023,38,0,0,70,union libre,1,0,1,22652.887899281144,7205.762416874744,2,0,79711.35709659367,2,61,570
121,60000,0.2,80,6,08/12/2022,29,0,0,46,union libre,0,0,0,17632.28148295531,12777.241124946799,4,0,68038.02479174969,3,48,442
122,15000,0.2,60,24,30/06/2023,33,0,1,41,casado,0,0,1,18183.760713172902,5617.754146987056,2,0,59380.670783746835,0,24,582
123,60000,0.1,60,12,13/09/2022,62,0,0,54,casado,1,0,1,58726.28061188666,35006.29513582513,1,0,,,,
124,60000,0.3,120,6,17/05/2023,13,1,0,80,casado,1,0,0,15984.966849681943,9788.758583343048,3,1,,,,
125,15000,0.4,60,6,21/03/2023,43,1,0,60,soltero,1,0,1,7493.128054400415,3429.2543530107773,1,1,,,,
126,60000,0.1,80,18,20/09/2022,47,0,0,51,casado,1,0,1,34371.717241220096,14713.680458677267,1,0,,,,
127,60000,0.3,80,6,02/05/2023,93,0,0,41,soltero,1,1,1,6202.544203910296,3572.207071843248,3,0,34240.54927404231,0,8,702
128,60000,0.2,120,18,13/07/2022,120,0,0,38,casado,0,0,1,24041.88678978433,8115.193579186884,0,1,39805.93547148346,0,22,569
129,45000,0.2,80,24,08/02/2023,17,1,1,47,divorciado,1,0,1,5000,4146.2197074504875,1,1,60076.96481169525,0,126,619
130,34000,0.4,120,6,12/12/2022,19,0,0,30,casado,0,0,0,14004.943435814164,8907.089553912494,1,0,,,,
131,34000,0.2,60,24,11/11/2022,35,0,1,31,union libre,1,0,0,26067.83878898241,20459.31851056472,2,0,61144.24894,1,29,620
132,22000,0.1,60,18,27/08/2022,103,1,0,30,soltero,1,0,1,12308.603714397428,10565.603838770961,0,1,,,,
133,34000,0.1,120,6,30/07/2022,45,1,0,49,casado,1,1,1,5000,5000,2,0,90828.56317832849,0,65,554
134,45000,0.3,60,6,08/02/2023,48,0,0,19,divorciado,0,0,1,24516.103139806997,17079.937680855826,1,1,31024.444675508665,2,19,750
135,60000,0.4,80,18,31/08/2022,54,0,0,42,soltero,1,0,0,31199.688778603882,15032.65092083168,0,0,11299.091950013446,1,3,474
136,22000,0.2,60,18,11/09/2022,112,0,0,39,casado,0,0,0,36773.87317868443,21801.61532996905,4,0,89984.13505226669,3,20,750
137,60000,0.3,60,18,07/02/2023,52,0,0,41,soltero,1,0,1,25907.36989252989,12997.133806878628,0,0,11467.304812755545,0,6,734
138,45000,0.1,60,18,14/08/2022,52,0,0,33,casado,0,1,1,34950.47330899945,16375.026541067544,1,0,93091.63493782823,0,20,571
139,60000,0.2,120,18,27/09/2022,55,0,0,72,divorciado,0,0,1,24716.19994147108,16407.101491538488,0,0,52261.91033004218,4,0,663
140,50000,0.1,80,12,12/12/2022,118,0,0,56,divorciado,0,0,1,49222.110792229556,22068.00843750549,2,0,10346.949250419078,1,13,633
141,60000,0.1,60,24,09/06/2023,16,0,1,25,soltero,1,0,1,38160.270095491396,18709.069733070475,2,1,16955.15556721486,4,1,482
142,60000,0.1,60,24,24/04/2023,40,1,1,51,union libre,1,1,1,12105.452852122733,7360.024926815923,3,1,74845.58768664737,1,36,594
143,45000,0.1,80,24,31/08/2022,37,0,1,32,union libre,0,0,0,22570.103716195044,16593.57892812094,1,0,6499.784875998034,2,35,592
144,22000,0.4,80,24,27/05/2023,13,0,1,27,union libre,0,1,1,35884.24583075352,13822.691694416542,1,0,91937.43236249342,2,112,540
145,50000,0.4,120,6,20/04/2023,5,1,0,35,divorciado,1,0,1,5000,5000,2,0,88879.18924914303,4,69,584
146,50000,0.4,80,12,12/06/2023,25,1,0,53,union libre,1,1,1,5000,5000,2,0,70237.41922397492,0,29,494
147,34000,0.1,120,12,11/05/2023,35,0,0,31,divorciado,1,0,0,34435.83440068338,10594.26065778123,2,0,92993.32067427742,0,14,541
148,50000,0.2,120,12,17/02/2023,24,0,0,51,divorciado,1,0,0,24250.408886485046,18768.203769300893,2,0,29676.22149712244,1,8,466
149,60000,0.1,60,6,07/07/2022,0,1,0,59,divorciado,1,0,1,30017.948819450918,25302.95804343716,0,0,,,,
150,22000,0.4,80,18,09/11/2022,149,1,0,70,divorciado,1,1,1,16250.601163593587,12487.32213619877,0,1,,,,
151,60000,0.3,120,12,21/12/2022,51,0,0,29,union libre,1,0,0,39688.40946607043,24865.290201238742,2,0,,,,
152,34000,0.3,120,18,10/03/2023,93,1,0,59,soltero,0,1,1,60042.52376642477,49563.828892181395,1,1,,,,
153,15000,0.4,120,24,18/06/2023,54,1,1,56,casado,1,0,1,38335.196106655654,25583.586263863446,1,1,,,,
154,45000,0.3,80,24,09/04/2023,17,0,1,34,soltero,1,0,1,24739.503779462164,8620.463905460432,1,0,95935.78985,2,5,610
155,50000,0.4,80,6,23/11/2022,51,0,0,30,casado,0,0,1,36347.50472782058,26418.11180592527,1,0,,,,
156,50000,0.4,60,18,18/05/2023,43,1,1,69,soltero,1,0,0,12148.154002399202,7608.293437375492,1,1,32483.731918868307,0,69,636
157,45000,0.4,60,6,07/02/2023,38,0,0,42,casado,0,0,0,34025.99311037211,14584.759723682893,1,0,66169.75088550728,1,16,546
158,50000,0.4,120,12,29/09/2022,23,0,0,47,divorciado,1,1,1,6486.222481507568,4778.774205,2,0,69450.45383166117,3,67,612
159,34000,0.4,80,18,25/12/2022,8,1,0,38,casado,1,0,1,26939.21015224656,13518.375417075342,0,0,,,,
160,34000,0.4,80,6,26/12/2022,158,0,0,25,soltero,1,0,0,5000,3362.7148266318723,2,1,81597.83630877221,2,6,663
161,45000,0.2,60,24,12/11/2022,49,0,1,33,divorciado,0,0,0,29743.066640140125,15580.51402222281,2,0,93205.86584841412,0,19,559
162,15000,0.4,120,12,26/03/2023,136,0,0,38,union libre,1,0,1,5000,3399.372364080795,1,0,12567.977146514606,3,38,388
163,50000,0.4,80,6,10/11/2022,41,0,0,27,divorciado,1,0,0,19447.82747,8093.721429,1,0,,,,
164,50000,0.2,60,6,24/06/2023,16,0,0,39,union libre,0,0,0,33144.71069459191,16896.60217947126,0,0,31715.169356820195,2,11,750
165,45000,0.3,60,24,01/02/2023,39,1,1,25,divorciado,1,0,1,36894.36660095211,19962.490512409153,0,1,,,,
166,15000,0.4,60,12,15/08/2022,57,0,0,26,casado,0,0,0,45329.86924939824,19243.52770501311,0,0,9265.480166785872,1,32,640
167,22000,0.4,60,12,16/10/2022,32,0,0,48,divorciado,0,0,0,27104.527238677812,12392.594601900772,0,1,52253.65415143654,0,21,580
168,60000,0.4,60,18,16/01/2023,33,1,0,53,casado,1,0,0,38147.74736314759,22203.036610867486,2,0,,,,
169,34000,0.2,80,6,24/08/2022,26,1,0,42,soltero,1,0,1,21716.744075722723,19160.87508629718,4,0,26046.542331990342,2,50,506
170,15000,0.3,80,12,25/03/2023,154,0,0,27,casado,1,0,0,19317.152954042118,10945.391833633324,0,0,,,,
171,34000,0.1,80,12,20/03/2023,40,0,0,27,divorciado,1,0,0,35599.57631125153,18904.303962448834,0,0,31072.932375212666,2,50,488
172,45000,0.4,60,12,23/08/2022,142,1,0,41,union libre,1,1,1,6451.511363808466,6451.511363808466,3,1,14619.800442279753,0,19,562
173,34000,0.3,60,18,24/09/2022,154,0,0,47,divorciado,0,0,0,28002.122562921606,22347.52760924178,2,1,,,,
174,34000,0.3,60,12,15/11/2022,33,1,0,56,divorciado,1,0,1,5000,4617.972762228133,1,0,,,,
175,60000,0.4,80,24,11/09/2022,37,0,0,34,casado,0,0,0,6749.374446063066,4398.859714340129,4,0,,,,
176,45000,0.2,80,24,15/01/2023,35,1,1,38,divorciado,1,0,1,22659.525234850094,14783.118450789449,1,1,79197.07211230289,1,37,419
177,15000,0.2,80,6,06/03/2023,33,0,0,43,divorciado,1,0,0,32159.95347,17230.301446689886,2,1,18655.154614668478,0,7,478
178,45000,0.3,80,24,31/01/2023,51,0,1,30,casado,0,1,1,47257.67355833559,18526.553112669677,2,0,24635.97018833644,2,65,442
179,45000,0.2,60,6,22/11/2022,102,0,0,33,union libre,0,0,0,5000,3212.973639226665,0,0,,,,
180,22000,0.3,120,12,21/11/2022,42,1,0,64,soltero,1,1,1,10326.568376816038,7918.693650859531,1,0,,,,
181,15000,0.4,60,12,27/09/2022,25,0,0,49,divorciado,1,0,0,46919.984853967515,31630.83485016374,0,1,,,,
182,45000,0.1,60,24,25/11/2022,21,1,1,55,union libre,1,1,1,25749.55139929746,13475.269475619825,1,0,53541.12190072944,0,48,498
183,50000,0.4,60,18,04/06/2023,45,0,1,24,casado,0,0,1,40865.58807230527,20504.37069,0,0,51049.02709172249,0,31,750
184,22000,0.4,60,12,16/07/2022,111,0,0,42,divorciado,1,0,0,51776.20383477462,27730.92936523021,1,0,92609.53291152099,0,36,590
185,50000,0.2,60,6,08/02/2023,38,1,0,57,union libre,1,1,1,10030.388880046914,5017.273692365325,1,0,,,,
186,15000,0.3,120,12,11/01/2023,13,0,0,35,union libre,0,0,0,17036.96183895819,5703.898961850906,0,0,,,,
187,22000,0.1,80,12,13/08/2022,29,0,0,56,casado,0,0,0,42839.174486398595,19643.21155,0,0,,,,
188,45000,0.3,120,12,22/07/2022,35,0,0,55,soltero,1,0,1,39506.45328484682,22615.313992202606,2,0,90274.77404770249,1,35,671
189,50000,0.3,80,12,28/03/2023,164,0,0,59,soltero,1,0,0,28121.88580469924,17613.847170786346,1,0,78794.63198160603,1,50,548
190,60000,0.2,120,6,01/08/2022,101,1,0,56,soltero,1,1,1,10552.48306442266,8275.579242928998,3,1,73720.59853467741,1,37,492
191,22000,0.3,120,24,06/12/2022,49,1,1,59,casado,1,0,1,8077.472187349316,6824.7309091095485,3,1,,,,
192,50000,0.1,60,12,13/12/2022,28,0,0,56,soltero,1,0,0,53676.996256299666,30681.58250380774,0,0,,,,
193,60000,0.3,80,12,21/05/2023,101,0,0,45,casado,1,0,0,60396.84196634363,33577.951069769144,1,1,36421.77072652254,1,16,623
194,50000,0.1,60,18,28/04/2023,29,0,1,33,casado,1,0,0,46756.55687290692,16138.693183666039,2,0,93297.98617030578,1,22,750
195,22000,0.2,120,18,10/09/2022,113,0,0,34,casado,0,0,0,39793.683933198234,19996.346724191848,1,0,91471.43111729797,2,39,750
196,45000,0.2,60,12,31/03/2023,43,0,0,42,casado,1,1,1,38848.215492554016,15623.420230423051,3,0,45085.72236895331,3,1,614
197,22000,0.1,120,18,15/05/2023,38,0,1,24,divorciado,1,1,1,34965.123517964385,19820.60918890048,1,0,35925.530380424025,1,5,630
198,22000,0.4,80,18,16/06/2023,53,0,1,38,soltero,0,0,0,5000,3395.190630703143,2,0,89036.14813021793,0,28,603
199,34000,0.3,120,18,22/11/2022,119,0,0,53,casado,0,0,1,22863.075440411587,13483.342120977259,2,0,47391.938011841965,0,17,694
200,22000,0.3,80,18,10/03/2023,11,0,1,18,divorciado,0,0,0,42296.78902982117,17380.212735795245,0,0,,,,
201,60000,0.1,80,18,25/04/2023,9,0,1,58,divorciado,1,0,0,17295.418491968223,6985.246688088989,1,0,,,,
202,34000,0.1,120,24,11/04/2023,27,1,1,61,casado,1,0,1,19461.399487777384,10157.43754449374,0,1,71078.03804325352,2,89,514
203,45000,0.1,120,18,21/01/2023,0,1,0,46,casado,1,0,0,35336.338362762355,20596.271070416064,0,0,,,,
