accommodation,stay,diversity,waitingtime,safety_activities,quality_activities,satisfaction_activities,price,recommendation overall (stars),skiholiday,country,age,education,expenses
5,5,87,82,66,99,78,1,2,1,1,79,2,447
1,6,81,46,67,76,36,1,4,1,1,41,2,310
2,5,99,73,65,24,77,3,2,0,1,41,1,318
3,9,50,35,75,63,61,2,3,1,3,24,1,288
3,5,100,72,83,55,59,2,3,1,3,48,1,341
3,7,72,50,79,27,55,1,4,0,2,54,2,375
3,8,70,56,99,67,52,3,4,0,1,45,1,340
4,6,47,56,64,35,62,1,3,0,1,67,1,413
4,4,77,72,71,31,71,1,2,0,1,51,1,413
5,5,97,78,81,56,81,2,1,1,3,75,4,455
4,4,79,50,88,15,45,1,4,1,2,35,1,340
2,4,91,67,100,39,79,1,1,0,2,40,1,310
5,3,86,73,74,50,73,2,2,1,1,58,4,477
3,6,61,32,85,66,40,1,3,0,1,48,3,379
3,4,30,4,97,63,48,2,3,0,2,48,1,359
3,7,95,47,73,38,56,3,2,0,3,41,1,322
3,2,70,51,100,22,65,2,3,0,2,41,3,406
1,5,62,43,89,73,67,1,3,1,2,37,2,308
4,8,100,95,59,42,98,3,1,1,2,68,1,401
3,6,78,76,84,23,91,3,1,1,1,37,1,385
3,9,100,90,94,31,83,3,2,1,1,30,2,353
3,5,51,42,93,46,57,1,3,1,3,41,1,362
3,5,91,53,80,76,51,3,4,1,1,46,2,371
4,7,100,52,75,49,57,2,3,0,4,72,4,448
3,7,90,61,64,52,69,3,1,1,1,26,1,279
3,6,78,37,100,61,64,3,3,1,2,31,2,323
3,7,52,25,79,61,58,2,3,0,3,40,2,344
3,7,76,49,70,100,68,2,2,1,2,46,4,313
3,8,89,64,81,72,69,2,2,1,4,64,1,358
1,3,86,69,86,36,70,3,1,1,1,44,1,307
3,6,85,55,92,56,71,3,2,0,4,57,4,346
4,4,99,85,80,50,88,3,1,1,2,57,1,429
2,7,98,86,70,56,72,3,2,1,2,54,3,371
4,6,68,57,70,40,53,2,3,0,2,48,4,429
2,8,100,65,87,7,81,3,3,1,3,39,3,316
3,6,74,54,74,54,70,3,2,1,1,45,3,337
4,5,71,49,90,47,58,2,3,0,3,52,1,364
4,4,95,76,98,92,81,2,1,1,1,55,1,471
3,7,72,55,81,76,73,3,2,1,2,61,4,396
3,6,89,87,72,56,78,1,2,0,1,54,4,382
3,10,48,16,89,68,40,1,4,0,1,35,3,339
3,5,100,68,91,50,80,3,3,1,1,46,1,366
3,8,100,54,61,71,56,1,4,0,1,64,1,366
2,6,83,47,67,0,55,2,4,0,2,51,1,352
1,3,76,51,68,47,69,2,2,1,2,36,3,313
3,8,100,82,66,11,76,3,2,1,3,31,4,349
2,4,81,56,56,46,60,1,2,0,2,53,1,331
4,7,87,60,97,46,91,3,2,1,2,70,1,422
2,9,67,44,83,57,44,3,3,0,3,55,3,315
4,6,66,55,96,40,82,3,1,0,2,39,1,376
3,5,80,69,79,38,84,1,1,1,4,57,3,371
3,8,60,40,68,43,71,2,1,1,3,42,4,394
3,5,55,15,61,31,48,2,3,1,1,31,4,295

